Date,price
2003-01-28,55.915306091308594
2003-01-29,56.3387336730957
2003-01-30,55.00324630737305
2003-01-31,56.065181732177734
2003-02-03,56.175899505615234
2003-02-04,55.62215805053711
2003-02-05,55.276885986328125
2003-02-06,55.01628494262695
2003-02-07,54.34526443481445
2003-02-10,54.72962951660156
2003-02-11,54.35183334350586
2003-02-12,53.4853515625
2003-02-13,53.64820098876953
2003-02-14,54.82083511352539
2003-02-18,55.7850227355957
2003-02-19,55.49184799194336
2003-02-20,54.938148498535156
2003-02-21,55.49184799194336
2003-02-24,54.592811584472656
2003-02-25,55.02931213378906
2003-02-26,54.22800064086914
2003-02-27,54.944644927978516
2003-02-28,55.30945587158203
2003-03-03,54.781742095947266
2003-03-04,53.908817291259766
2003-03-05,54.364830017089844
2003-03-06,53.908817291259766
2003-03-07,54.28013229370117
2003-03-10,52.97718048095703
2003-03-11,52.456031799316406
2003-03-12,52.80780029296875
2003-03-13,54.63191223144531
2003-03-14,54.80778503417969
2003-03-17,56.53419876098633
2003-03-18,56.86644744873047
2003-03-19,57.302940368652344
2003-03-20,57.426734924316406
2003-03-21,58.652469635009766
2003-03-24,56.703277587890625
2003-03-25,57.24618911743164
2003-03-26,56.958377838134766
2003-03-27,57.00415802001953
2003-03-28,56.71635818481445
2003-03-31,55.42782211303711
2003-04-01,56.27812194824219
2003-04-02,57.638671875
2003-04-03,57.3638916015625
2003-04-04,57.704063415527344
2003-04-07,57.59285354614258
2003-04-08,57.68442916870117
2003-04-09,56.925662994384766
2003-04-10,57.23963928222656
2003-04-11,57.00415802001953
2003-04-14,58.1815299987793
2003-04-15,58.72444152832031
2003-04-16,57.72365951538086
2003-04-17,58.580528259277344
2003-04-21,58.639404296875
2003-04-22,59.74483108520508
2003-04-23,60.29424285888672
2003-04-24,59.757911682128906
2003-04-25,59.01877212524414
2003-04-28,60.039161682128906
2003-04-29,60.248477935791016
2003-04-30,60.117671966552734
2003-05-01,60.11113357543945
2003-05-02,60.96794509887695
2003-05-05,60.85025405883789
2003-05-06,61.42582702636719
2003-05-07,61.08571243286133
2003-05-08,60.470890045166016
2003-05-09,61.308128356933594
2003-05-12,62.060298919677734
2003-05-13,61.9491081237793
2003-05-14,61.81827163696289
2003-05-15,62.21075439453125
2003-05-16,62.053775787353516
2003-05-19,60.601688385009766
2003-05-20,60.47740936279297
2003-05-21,60.601688385009766
2003-05-22,61.203460693359375
2003-05-23,61.32770919799805
2003-05-27,62.400428771972656
2003-05-28,62.57706069946289
2003-05-29,62.413516998291016
2003-05-30,63.414283752441406
2003-06-02,63.675933837890625
2003-06-03,63.93751525878906
2003-06-04,64.85983276367188
2003-06-05,65.18032836914062
2003-06-06,64.92523956298828
2003-06-09,64.26459503173828
2003-06-10,64.91871643066406
2003-06-11,65.6054916381836
2003-06-12,65.80825805664062
2003-06-13,65.12144470214844
2003-06-16,66.49504089355469
2003-06-17,66.49504089355469
2003-06-18,66.43619537353516
2003-06-19,65.42236328125
2003-06-20,65.2779312133789
2003-06-23,64.60832214355469
2003-06-24,64.67400360107422
2003-06-25,64.0240707397461
2003-06-26,64.8577651977539
2003-06-27,64.10942077636719
2003-06-30,64.0897445678711
2003-07-01,64.68052673339844
2003-07-02,65.49454498291016
2003-07-03,64.81838989257812
2003-07-07,66.10501861572266
2003-07-08,66.40045166015625
2003-07-09,66.02629089355469
2003-07-10,65.1860122680664
2003-07-11,65.80307006835938
2003-07-14,66.12478637695312
2003-07-15,65.98035430908203
2003-07-16,65.59302520751953
2003-07-17,64.66085815429688
2003-07-18,65.3238754272461
2003-07-21,64.51646423339844
2003-07-22,65.10066986083984
2003-07-23,65.14662170410156
2003-07-24,64.65430450439453
2003-07-25,65.79652404785156
2003-07-28,65.55365753173828
2003-07-29,65.25167083740234
2003-07-30,65.0941162109375
2003-07-31,65.24510955810547
2003-08-01,64.66742706298828
2003-08-04,64.66742706298828
2003-08-05,63.29541778564453
2003-08-06,63.663055419921875
2003-08-07,64.3326187133789
2003-08-08,64.51646423339844
2003-08-11,64.75931549072266
2003-08-12,65.35010528564453
2003-08-13,65.01533508300781
2003-08-14,65.19253540039062
2003-08-15,65.39608001708984
2003-08-18,65.9606704711914
2003-08-19,66.21007537841797
2003-08-20,65.94097137451172
2003-08-21,66.1510009765625
2003-08-22,65.49454498291016
2003-08-25,65.599609375
2003-08-26,65.71773529052734
2003-08-27,65.7374038696289
