time,open,high,low,close,Volume,Volume MA
2008-11-18,1975,1975,1975,1975,,
2008-11-19,2996,2996,2996,2996,,
2008-11-20,2984,2984,2984,2984,,
2008-11-21,1163,1163,1163,1163,,
2008-11-24,361,361,361,361,,
2008-11-25,1009,1009,1009,1009,,
2008-11-26,469,469,469,469,,
2008-11-28,965,965,965,965,,
2008-12-01,2803,2803,2803,2803,,
2008-12-02,744,744,744,744,,
2008-12-03,1047,1047,1047,1047,,
2008-12-04,2297,2297,2297,2297,,
2008-12-05,912,912,912,912,,
2008-12-08,683,683,683,683,,
2008-12-09,2134,2134,2134,2134,,
2008-12-10,954,954,954,954,,
2008-12-11,2428,2428,2428,2428,,
2008-12-12,1199,1199,1199,1199,,
2008-12-15,2305,2305,2305,2305,,
2008-12-16,474,474,474,474,,
2008-12-17,1280,1280,1280,1280,,
2008-12-18,1800,1800,1800,1800,,
2008-12-19,1151,1151,1151,1151,,
2008-12-22,2140,2140,2140,2140,,
2008-12-23,1889,1889,1889,1889,,
2008-12-24,1219,1219,1219,1219,,
2008-12-26,775,775,775,775,,
2008-12-29,1962,1962,1962,1962,,
2008-12-30,591,591,591,591,,
2008-12-31,489,489,489,489,,
2009-01-02,516,516,516,516,,
2009-01-05,1031,1031,1031,1031,,
2009-01-06,685,685,685,685,,
2009-01-07,2488,2488,2488,2488,,
2009-01-08,1178,1178,1178,1178,,
2009-01-09,2188,2188,2188,2188,,
2009-01-12,2359,2359,2359,2359,,
2009-01-13,1431,1431,1431,1431,,
2009-01-14,2794,2794,2794,2794,,
2009-01-15,1420,1420,1420,1420,,
2009-01-16,1035,1035,1035,1035,,
2009-01-20,2784,2784,2784,2784,,
2009-01-21,632,632,632,632,,
2009-01-22,2386,2386,2386,2386,,
2009-01-23,1382,1382,1382,1382,,
2009-01-26,1072,1072,1072,1072,,
2009-01-27,951,951,951,951,,
2009-01-28,414,414,414,414,,
2009-01-29,2549,2549,2549,2549,,
2009-01-30,2226,2226,2226,2226,,
2009-02-02,1655,1655,1655,1655,,
2009-02-03,1164,1164,1164,1164,,
2009-02-04,1726,1726,1726,1726,,
2009-02-05,1084,1084,1084,1084,,
2009-02-06,537,537,537,537,,
2009-02-09,1384,1384,1384,1384,,
2009-02-10,2618,2618,2618,2618,,
2009-02-11,1228,1228,1228,1228,,
2009-02-12,1607,1607,1607,1607,,
2009-02-13,1853,1853,1853,1853,,
2009-02-17,2894,2894,2894,2894,,
2009-02-18,2193,2193,2193,2193,,
2009-02-19,2214,2214,2214,2214,,
2009-02-20,2338,2338,2338,2338,,
2009-02-23,2691,2691,2691,2691,,
2009-02-24,446,446,446,446,,
2009-02-25,1877,1877,1877,1877,,
2009-02-26,1676,1676,1676,1676,,
2009-02-27,2055,2055,2055,2055,,
2009-03-02,2933,2933,2933,2933,,
2009-03-03,2111,2111,2111,2111,,
2009-03-04,628,628,628,628,,
2009-03-05,2883,2883,2883,2883,,
2009-03-06,1929,1929,1929,1929,,
2009-03-09,2210,2210,2210,2210,,
2009-03-10,223,223,223,223,,
2009-03-11,1266,1266,1266,1266,,
2009-03-12,260,260,260,260,,
2009-03-13,1100,1100,1100,1100,,
2009-03-16,1300,1300,1300,1300,,
2009-03-17,639,639,639,639,,
2009-03-18,588,588,588,588,,
2009-03-19,1555,1555,1555,1555,,
2009-03-20,2304,2304,2304,2304,,
2009-03-23,262,262,262,262,,
2009-03-24,2144,2144,2144,2144,,
2009-03-25,923,923,923,923,,
2009-03-26,615,615,615,615,,
2009-03-27,2317,2317,2317,2317,,
2009-03-30,2739,2739,2739,2739,,
2009-03-31,743,743,743,743,,
2009-04-01,709,709,709,709,,
2009-04-02,391,391,391,391,,
2009-04-03,952,952,952,952,,
2009-04-06,2096,2096,2096,2096,,
2009-04-07,2368,2368,2368,2368,,
2009-04-08,775,775,775,775,,
2009-04-09,365,365,365,365,,
2009-04-13,1263,1263,1263,1263,,
2009-04-14,2113,2113,2113,2113,,
2009-04-15,875,875,875,875,,
2009-04-16,623,623,623,623,,
2009-04-17,988,988,988,988,,
2009-04-20,2795,2795,2795,2795,,
2009-04-21,633,633,633,633,,
2009-04-22,1401,1401,1401,1401,,
2009-04-23,1176,1176,1176,1176,,
2009-04-24,702,702,702,702,,
2009-04-27,2074,2074,2074,2074,,
2009-04-28,1410,1410,1410,1410,,
2009-04-29,487,487,487,487,,
2009-04-30,1375,1375,1375,1375,,
2009-05-01,1113,1113,1113,1113,,
2009-05-04,457,457,457,457,,
2009-05-05,1670,1670,1670,1670,,
2009-05-06,904,904,904,904,,
2009-05-07,2021,2021,2021,2021,,
2009-05-08,431,431,431,431,,
2009-05-11,2179,2179,2179,2179,,
2009-05-12,1744,1744,1744,1744,,
2009-05-13,2744,2744,2744,2744,,
2009-05-14,846,846,846,846,,
2009-05-15,1921,1921,1921,1921,,
2009-05-18,361,361,361,361,,
2009-05-19,1218,1218,1218,1218,,
2009-05-20,1456,1456,1456,1456,,
2009-05-21,2208,2208,2208,2208,,
2009-05-22,1458,1458,1458,1458,,
2009-05-26,516,516,516,516,,
2009-05-27,2120,2120,2120,2120,,
2009-05-28,1041,1041,1041,1041,,
2009-05-29,781,781,781,781,,
