signal_date,future_min_spx_return_126,followed_by_20pct_drop,sell_ndx_return_60_pct,sell_breadth_fall_60_points,sell_breadth_level_pct,full_nearest_peak_zone_date,full_nearest_peak_distance,full_peak_similarity_percentile,causal_nearest_peak_zone_date,causal_nearest_peak_distance,causal_peak_similarity_percentile,resolved_peak_episodes_available
2013-04-01,-0.013186531814108449,False,1.8423649266149145,-9.450000000000003,86.4,2022-01-12,0.6696319542734434,0.4734323432343234,2007-06-04,0.6989230095459719,0.565534866739686,1.0
2013-10-10,0.0032494387333097396,False,4.069646839184782,13.400000000000006,76.19,2021-11-24,0.2923241899796427,0.8042904290429043,2007-07-23,0.3314853485262754,0.9116214335421016,1.0
2013-12-11,-0.02261250140276061,False,8.71748103158112,4.950000000000003,76.81,2021-11-16,0.27778969655680635,0.8201320132013201,2007-07-12,0.25627463127157935,0.9509770311964347,1.0
2014-03-14,-0.013796100157514424,False,4.375408180586282,-1.3900000000000006,77.59,2022-01-12,0.22008451960234862,0.8727722772277228,2007-10-09,0.5189791192390549,0.7291946308724833,1.0
2014-09-12,-0.06194913120120882,False,6.9552463984482005,13.790000000000006,71.8,2007-07-23,0.1007560771787369,0.9764026402640265,2007-07-23,0.09168106334160749,0.9919510624597553,1.0
2015-01-22,-0.03305544784800307,False,5.649155620209689,-9.130000000000003,68.92,2021-12-15,0.352105290640836,0.7504950495049505,2007-06-01,0.6688011106885471,0.5923028785982478,1.0
2015-03-16,-0.10263309629060158,False,6.867908841940551,-3.3400000000000034,66.26,2021-12-15,0.14776532037901494,0.9366336633663367,2007-10-03,0.44648342103983646,0.8097153465346535,1.0
2015-03-18,-0.11045487020719225,False,3.6255468312490935,4.609999999999999,68.53,2021-12-10,0.16264532958990463,0.9234323432343234,2007-10-11,0.26873186957660256,0.9412492269635127,1.0
2015-05-07,-0.10555555555555562,False,2.8123284631466072,6.279999999999994,63.52,2007-10-11,0.2460820659081122,0.8488448844884489,2007-10-11,0.23351973264415082,0.9510553686142551,1.0
2015-06-17,-0.11083603123214636,False,0.5272700279381093,12.939999999999998,56.59,2007-10-16,0.493541397815429,0.6173267326732673,2007-10-16,0.46706461640884933,0.7907188353048226,1.0
