short_window,long_window,ma_window,full_cagr,full_sharpe,full_max_drawdown,full_calmar,train_cagr,train_sharpe,train_max_drawdown,train_calmar,test_cagr,test_sharpe,test_max_drawdown,test_calmar,real_breadth_cagr,real_breadth_sharpe,real_breadth_max_drawdown,real_breadth_calmar,completed_trades,exposure,expectancy,turnover_position_changes_per_year,raw_signal_days,executed_golden_cross_entries,primary_rank,reverse_rank,full_rank
5,10,250,0.1853669783894274,0.9592286366047944,-0.46924584192384455,0.39503169091376034,0.17569583156473567,0.9034808180815601,-0.46924584192384455,0.3744217121763008,0.19543688235656154,1.0178163707978405,-0.22986796654908892,0.8502136478195428,0.18460552656265028,0.9474089680847068,-0.46924584192384455,0.3934089768505834,23,0.8899097356544166,0.229834264127519,1.9055111555111555,577,12,11,30,26
5,10,150,0.18533747192478822,0.9608037253266513,-0.4692459090955282,0.39496875376500634,0.1756356581108065,0.9063339619877108,-0.4692459090955282,0.3742934242076704,0.19543687541610932,1.017816340294869,-0.22986796654908903,0.8502136176263305,0.1846054956994625,0.9474088400990597,-0.4692459090955282,0.3934088547629317,23,0.8823339780786589,0.22949554312068288,1.9055111555111555,583,13,12,31,28
5,21,150,0.18759318746506315,0.9712305397993133,-0.4692459677674471,0.39977581130336354,0.17558313157157435,0.9073299520344099,-0.4692459677674471,0.374181439228885,0.19992201097048512,1.0373877318380378,-0.2602916574859754,0.7680692224308303,0.18670944437675363,0.9566606164143674,-0.4692459677674471,0.39789248539538796,24,0.8829787234042553,0.2250786558712369,1.9865967365967365,529,14,13,53,4
3,10,200,0.1857417894012614,0.9648390373779465,-0.4692463164433598,0.3958300425437251,0.17527160345001902,0.909028543013351,-0.4692463164433598,0.37351727079817176,0.1965820285623796,1.0227510996427787,-0.22986796654908903,0.8551954041860761,0.18533613252571834,0.9504901136532024,-0.4692463164433598,0.39496555653429255,23,0.8810444874274661,0.23026662502439768,1.9055111555111555,677,12,14,13,22
3,14,200,0.1857417894012614,0.9648390373779465,-0.4692463164433598,0.3958300425437251,0.17527160345001902,0.909028543013351,-0.4692463164433598,0.37351727079817176,0.1965820285623796,1.0227510996427787,-0.22986796654908903,0.8551954041860761,0.18533613252571834,0.9504901136532024,-0.4692463164433598,0.39496555653429255,23,0.8810444874274661,0.23026662502439768,1.9055111555111555,652,12,15,14,23
5,21,250,0.18704454512239654,0.9666954516582755,-0.4692472228686332,0.39860554523678043,0.1744667289449131,0.8986508855338445,-0.4692472228686332,0.37180130311342396,0.1999218829469629,1.0373871781292339,-0.26029172211494456,0.7680685398772596,0.18670886938043907,0.9566582381826917,-0.4692472228686332,0.3978901957885612,24,0.8913604126370084,0.22488330579569937,1.9865967365967365,528,13,16,54,5
7,14,250,0.18704454512239654,0.9666954516582755,-0.4692472228686332,0.39860554523678043,0.1744667289449131,0.8986508855338445,-0.4692472228686332,0.37180130311342396,0.1999218829469629,1.0373871781292339,-0.26029172211494456,0.7680685398772596,0.18670886938043907,0.9566582381826917,-0.4692472228686332,0.3978901957885612,24,0.8913604126370084,0.22488330579569937,1.9865967365967365,486,13,17,55,6
9,10,250,0.18704454512239654,0.9666954516582755,-0.4692472228686332,0.39860554523678043,0.1744667289449131,0.8986508855338445,-0.4692472228686332,0.37180130311342396,0.1999218829469629,1.0373871781292339,-0.26029172211494456,0.7680685398772596,0.18670886938043907,0.9566582381826917,-0.4692472228686332,0.3978901957885612,24,0.8913604126370084,0.22488330579569937,1.9865967365967365,483,13,18,56,7
7,10,250,0.18249134688430635,0.9482486607002024,-0.46924766947620444,0.38890197811320293,0.17407277407747368,0.8982168339517308,-0.46924766947620444,0.37096140354150636,0.19135321539926053,1.0011298033180254,-0.2602922891469919,0.7351474606733349,0.18100180490094542,0.9337396113116566,-0.46924766947620444,0.3857276587073684,24,0.8868471953578336,0.2185791563994607,1.9865967365967365,517,13,19,77,64
5,14,250,0.1823657227886848,0.9471428632117433,-0.46924775698706345,0.3886341917958542,0.17399578092254164,0.8968593066341292,-0.46924775698706345,0.37079725652761825,0.19118072317841883,1.0003710654522888,-0.2602923055987316,0.7344847276167445,0.1808444244245122,0.9323909921935168,-0.46924775698706345,0.38539219789919604,24,0.8871695680206318,0.21847931320271505,1.9865967365967365,546,13,20,81,65
