Date,baseline,0.50,0.60,0.70,baseline_return,challenger_0.60_return,baseline_position,challenger_0.60_position
2020-05-01,172230.4335744397,92163.49461357131,74961.87255153978,17908.361811427894,-0.03136822246739368,-0.03136822246739357,True,True
2020-05-04,174520.66779354104,93389.03869852383,75958.67806426148,18146.49825559386,0.013297500166319143,0.013297500166319143,True,True
2020-05-05,176427.25370301632,94409.28591355677,76788.50382146644,18344.743301970615,0.01092469982827926,0.01092469982827926,True,True
2020-05-06,177498.7822464827,94982.67943695729,77254.8777627243,18456.159852747478,0.006073486499257763,0.006073486499257541,True,True
2020-05-07,179810.54976411603,96219.74636373331,78261.0554656372,18696.535309456707,0.013024131706002917,0.01302413170600314,True,True
2020-05-08,182150.96249539297,97472.14184155893,79279.70076100629,18939.88926909047,0.013015992300491774,0.013015992300491774,True,True
2020-05-11,183703.1379684784,98302.7378801574,79955.27230533946,19101.283044800988,0.008521368494688542,0.008521368494688542,True,True
2020-05-12,180019.36349391766,96331.48621517769,78351.93991547303,18718.247568706553,-0.020052866354372534,-0.020052866354372423,True,True
2020-05-13,177799.45821314122,95143.57636590561,77385.74449181621,18487.423862755295,-0.012331480556820429,-0.01233148055682054,True,True
2020-05-14,179663.17507874995,96140.88361143672,78196.911852035,18681.211425444995,0.010482129047741928,0.010482129047741928,True,True
2020-05-15,180813.3297948379,96756.35136461478,78697.5071850002,18800.803453214703,0.0064017276527803535,0.0064017276527803535,True,True
2020-05-18,184355.26107356366,98651.70027336261,80239.1034963594,19169.090204482847,0.0195888836445004,0.0195888836445004,True,True
2020-05-19,183695.63094697183,98298.72074264096,79952.00493628198,19100.502471620763,-0.0035780379835681497,-0.0035780379835679277,True,True
2020-05-20,187379.60297473008,100270.0781217658,81555.42330954464,19483.558489114675,0.02005476128510497,0.02005476128510475,True,True
2020-05-21,185265.1911014409,99138.61962601433,80635.1430194851,19263.703890485474,-0.011284109047740576,-0.011284109047740576,True,True
2020-05-22,185976.38261259114,99519.19054862531,80944.68324598369,19337.652928611715,0.003838775686474394,0.003838775686474394,True,True
2020-05-26,185502.05738529342,99265.37088607282,80738.23711158837,19288.333028461406,-0.002550459475737843,-0.002550459475737843,True,True
2020-05-27,186530.71688489325,99815.82443997153,81185.95265586008,19395.29209555122,0.005545272726885653,0.005545272726885431,True,True
2020-05-28,186030.11708232248,99547.94479611148,80968.07072976357,19343.24018927014,-0.0026837392303579177,-0.0026837392303579177,True,True
2020-05-29,188772.3530173993,101015.36284521231,82161.60625310437,19628.375355445227,0.014740817121903449,0.014740817121903671,True,True
2020-06-01,189629.1412351378,101473.84509281335,82534.51624263891,19717.463404987862,0.004538737818559291,0.004538737818559291,True,True
2020-06-02,190783.2470151766,102091.42712889484,83036.83124352912,19837.466260747162,0.00608612037433498,0.00608612037433498,True,True
2020-06-03,191719.25406512938,102592.30074870896,83444.22057495976,19934.791411481085,0.004906128103996155,0.004906128103995933,True,True
2020-06-04,190237.01242397373,101799.12751750057,82799.08715289895,19780.669291186314,-0.007731313416502794,-0.007731313416502905,True,True
2020-06-05,194083.9658397039,103857.69906639046,84473.44182806755,20180.67196325082,0.020221897761706797,0.02022189776170702,True,True
2020-06-08,195607.6936523433,104673.07226808446,85136.63176334076,20339.10777743629,0.007850869112484338,0.007850869112484338,True,True
2020-06-09,196904.63039420478,105367.08563112364,85701.11275971943,20473.962065019274,0.006630295146603737,0.006630295146603737,True,True
2020-06-10,199415.3339817627,106710.60670208557,86793.87574265568,20735.022711004374,0.012750861076915587,0.012750861076915587,True,True
2020-06-11,189423.48835649688,101363.79666769168,82445.00752714308,19696.07980812969,-0.050105703637512766,-0.050105703637512655,True,True
2020-06-12,190910.86638078856,102159.71846667447,83092.37651750636,19850.736004810926,0.007852130890401599,0.007852130890401599,True,True
2020-06-15,193145.58815138068,103355.5568768343,84065.02069588192,20083.10031572315,0.011705576602092371,0.01170557660209215,True,True
2020-06-16,196552.9857025805,105178.91445272157,85548.06231439514,20437.398373945747,0.01764160177725227,0.01764160177725227,True,True
