basket_size,horizon_years,qqq_pct,stock_pct,n_windows_rolling,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75,pct_windows_positive,n_windows_nonoverlap,cagr_nonoverlap_mean,cagr_nonoverlap_std,cagr_nonoverlap_tstat,cagr_nonoverlap_pvalue,sharpe_nonoverlap_mean,sharpe_nonoverlap_std,sharpe_nonoverlap_tstat,sharpe_nonoverlap_pvalue
2,15,26,74,2515,22.760941,21.85793,9.251696,16.011094,29.971155,237609.41017,228579.300151,92516.956317,170110.941053,309711.546778,0.228742,0.232019,0.03492,0.207981,0.257266,-0.477822,-0.502195,0.053714,-0.503686,-0.498783,0.940501,0.954065,0.12894,0.886149,1.027808,1.0,1,0.156473,,,,0.639237,,,
2,15,27,73,2515,22.540276,21.640589,9.167727,15.854995,29.689158,235402.755112,226405.886372,91677.267411,168549.946989,306891.578439,0.227975,0.231228,0.034905,0.207239,0.256465,-0.477677,-0.501965,0.053801,-0.503514,-0.498446,0.939252,0.952745,0.129176,0.884797,1.026356,1.0,1,0.155681,,,,0.637275,,,
2,15,28,72,2515,22.31961,21.425764,9.083778,15.698895,29.395643,233196.100053,224257.639444,90837.775563,166988.952926,303956.4273,0.227202,0.230441,0.034889,0.206488,0.255649,-0.477531,-0.501732,0.053891,-0.503339,-0.498109,0.93798,0.951395,0.129414,0.883453,1.024919,1.0,1,0.154882,,,,0.635287,,,
2,15,29,71,2515,22.098944,21.208036,8.999849,15.542796,29.097659,230989.444995,222080.362812,89998.48629,165427.958863,300976.589202,0.226422,0.22964,0.034874,0.205721,0.254826,-0.477382,-0.501497,0.053983,-0.503161,-0.497772,0.936685,0.95011,0.129653,0.88204,1.023505,1.0,1,0.154075,,,,0.633272,,,
2,15,30,70,2515,21.878279,20.985583,8.915941,15.38568,28.817057,228782.789937,219855.827762,89159.405311,163856.795199,298170.571433,0.225635,0.22882,0.034858,0.204947,0.254004,-0.477231,-0.501259,0.054075,-0.502981,-0.497433,0.935367,0.948795,0.129894,0.880593,1.022215,1.0,1,0.153259,,,,0.631229,,,
2,15,31,69,2515,21.657613,20.76451,8.832054,15.227128,28.513712,226576.134878,217645.100094,88320.538563,162271.282572,295137.123463,0.224841,0.227992,0.034842,0.204166,0.253142,-0.477078,-0.501018,0.054169,-0.502797,-0.497095,0.934025,0.947491,0.130136,0.879041,1.020784,1.0,1,0.152436,,,,0.629159,,,
2,15,32,68,2515,21.436948,20.548516,8.748189,15.068577,28.216249,224369.47982,215485.1551,87481.89221,160685.769944,292162.490151,0.224039,0.227162,0.034827,0.203378,0.252335,-0.476924,-0.500774,0.054265,-0.50261,-0.496755,0.932658,0.946079,0.13038,0.877582,1.019354,1.0,1,0.151604,,,,0.62706,,,
2,15,33,67,2515,21.216282,20.330319,8.664347,14.910026,27.920707,222162.824762,213303.189107,86643.472649,159100.257317,289207.07013,0.22323,0.226326,0.034811,0.202584,0.251459,-0.476768,-0.500526,0.054363,-0.50242,-0.496415,0.931266,0.944505,0.130625,0.876293,1.018128,1.0,1,0.150764,,,,0.624932,,,
2,15,34,66,2515,20.995617,20.108656,8.580529,14.752838,27.632915,219956.169703,211086.556874,85805.286531,157528.384792,286329.1502,0.222413,0.225481,0.034795,0.201793,0.250624,-0.476611,-0.500276,0.054463,-0.502227,-0.496075,0.929848,0.943038,0.130872,0.874892,1.016624,1.0,1,0.149915,,,,0.622773,,,
2,15,35,65,2515,20.774951,19.882999,8.496734,14.59899,27.355854,217749.514645,208829.994974,84967.340763,155989.897129,283558.537456,0.221589,0.224611,0.03478,0.201021,0.249794,-0.47645,-0.500023,0.054564,-0.50203,-0.495734,0.928404,0.941471,0.131121,0.873331,1.015061,1.0,1,0.149057,,,,0.620584,,,
2,15,36,64,2515,20.554286,19.666902,8.412964,14.440401,27.072685,215542.859586,206669.019165,84129.642528,154404.008141,280726.853178,0.220757,0.223767,0.034764,0.200203,0.248977,-0.476288,-0.499767,0.054666,-0.50183,-0.495393,0.926932,0.939873,0.131371,0.871833,1.013473,1.0,1,0.148191,,,,0.618364,,,
2,15,37,63,2515,20.33362,19.445763,8.32922,14.28053,26.789071,213336.204528,204457.629184,83292.199293,152805.295151,277890.707884,0.219916,0.222898,0.034748,0.199371,0.248136,-0.476122,-0.499507,0.054769,-0.501626,-0.49505,0.925432,0.938339,0.131623,0.870302,1.011857,1.0,1,0.147315,,,,0.616111,,,
2,15,38,62,2515,20.112955,19.224624,8.245502,14.122011,26.518837,211129.54947,202246.239203,82455.018829,151220.105532,275188.369318,0.219068,0.22202,0.034733,0.198525,0.2473,-0.475954,-0.499245,0.054874,-0.501419,-0.494708,0.923903,0.936798,0.131877,0.868642,1.010175,1.0,1,0.146429,,,,0.613825,,,
2,15,39,61,2515,19.892289,19.003485,8.161811,13.962185,26.251495,208922.894411,200034.849223,81618.109221,149621.852878,272514.947859,0.218211,0.221133,0.034717,0.197675,0.246489,-0.475783,-0.498978,0.05498,-0.501208,-0.494365,0.922346,0.935174,0.132132,0.866917,1.008452,1.0,1,0.145534,,,,0.611505,,,
2,15,40,60,2515,19.671624,18.774855,8.078148,13.799234,25.981819,206716.239353,197748.551084,80781.478887,147992.336699,269818.185452,0.217345,0.220201,0.034701,0.196794,0.245663,-0.47561,-0.498709,0.055087,-0.500993,-0.494021,0.920757,0.933527,0.132389,0.865175,1.006765,1.0,1,0.144629,,,,0.609151,,,
2,15,41,59,2515,19.450958,18.553782,7.994514,13.635119,25.702213,204509.584295,195537.823416,79945.136597,146351.188774,267022.133045,0.216471,0.219249,0.034686,0.195905,0.244812,-0.475434,-0.498436,0.055195,-0.500774,-0.493677,0.919138,0.931905,0.132647,0.863275,1.00512,1.0,1,0.143713,,,,0.606761,,,
