qqq_pct,stock_pct,tqqq_pct,cagr_pct,sharpe,max_dd_pct,calmar,h1_sharpe,h1_calmar,h1_cagr_pct,h1_max_dd_pct,h2_sharpe,h2_calmar,h2_cagr_pct,h2_max_dd_pct
25,30,45,45.82,1.059,-57.8,0.793,0.862,0.522,30.15,-57.8,1.225,1.143,62.94,-55.1
25,35,40,45.15,1.062,-56.5,0.8,0.869,0.52,29.38,-56.5,1.225,1.138,62.39,-54.8
25,40,35,44.39,1.066,-55.1,0.806,0.875,0.518,28.55,-55.1,1.225,1.131,61.73,-54.6
25,45,30,43.52,1.068,-54.2,0.803,0.882,0.515,27.65,-53.6,1.225,1.124,60.9,-54.2
25,50,25,42.51,1.071,-53.7,0.792,0.889,0.512,26.67,-52.1,1.225,1.114,59.84,-53.7
25,55,20,41.29,1.072,-53.0,0.779,0.895,0.506,25.6,-50.6,1.225,1.103,58.44,-53.0
25,60,15,39.74,1.073,-51.9,0.766,0.899,0.499,24.42,-48.9,1.224,1.089,56.47,-51.9
25,65,10,37.64,1.073,-49.8,0.756,0.899,0.489,23.09,-47.2,1.225,1.073,53.46,-49.8
25,70,5,34.33,1.073,-45.4,0.757,0.892,0.476,21.58,-45.4,1.227,1.067,48.02,-45.0
25,75,0,25.24,1.043,-43.5,0.581,0.871,0.456,19.83,-43.5,1.209,0.829,30.82,-37.2
30,0,70,48.37,1.037,-63.1,0.766,0.835,0.528,33.31,-63.1,1.224,1.152,64.76,-56.2
30,5,65,47.94,1.042,-62.0,0.773,0.839,0.528,32.73,-62.0,1.224,1.151,64.5,-56.0
30,10,60,47.47,1.046,-60.9,0.779,0.843,0.527,32.12,-60.9,1.224,1.15,64.21,-55.8
30,15,55,46.97,1.05,-59.7,0.786,0.848,0.527,31.47,-59.7,1.225,1.149,63.88,-55.6
30,20,50,46.42,1.054,-58.5,0.794,0.854,0.526,30.79,-58.5,1.225,1.148,63.49,-55.3
30,25,45,45.81,1.058,-57.2,0.801,0.86,0.525,30.06,-57.2,1.225,1.143,63.04,-55.1
30,30,40,45.14,1.061,-55.9,0.808,0.866,0.524,29.28,-55.9,1.225,1.138,62.5,-54.9
30,35,35,44.38,1.065,-54.6,0.812,0.873,0.522,28.44,-54.5,1.224,1.132,61.84,-54.6
30,40,30,43.51,1.068,-54.3,0.801,0.88,0.519,27.53,-53.0,1.224,1.124,61.02,-54.3
30,45,25,42.5,1.07,-53.8,0.79,0.888,0.516,26.54,-51.5,1.224,1.114,59.97,-53.8
30,50,20,41.27,1.072,-53.1,0.777,0.894,0.51,25.46,-49.9,1.224,1.103,58.58,-53.1
30,55,15,39.72,1.073,-52.0,0.764,0.899,0.503,24.26,-48.2,1.224,1.088,56.62,-52.0
30,60,10,37.62,1.073,-50.0,0.752,0.9,0.493,22.91,-46.5,1.224,1.072,53.61,-50.0
30,65,5,34.28,1.073,-45.3,0.757,0.894,0.479,21.38,-44.6,1.227,1.063,48.15,-45.3
30,70,0,25.0,1.048,-42.7,0.586,0.873,0.459,19.59,-42.7,1.215,0.839,30.57,-36.5
35,0,65,47.93,1.04,-61.5,0.779,0.836,0.531,32.65,-61.5,1.224,1.153,64.58,-56.0
35,5,60,47.47,1.045,-60.4,0.786,0.841,0.531,32.04,-60.4,1.224,1.152,64.3,-55.8
35,10,55,46.96,1.049,-59.2,0.794,0.846,0.53,31.39,-59.2,1.224,1.151,63.97,-55.6
35,15,50,46.41,1.053,-57.9,0.801,0.851,0.53,30.69,-57.9,1.224,1.149,63.59,-55.4
35,20,45,45.81,1.057,-56.6,0.809,0.857,0.529,29.96,-56.6,1.224,1.144,63.14,-55.2
35,25,40,45.13,1.06,-55.3,0.817,0.864,0.528,29.17,-55.3,1.224,1.138,62.6,-55.0
35,30,35,44.37,1.064,-54.7,0.811,0.871,0.526,28.32,-53.8,1.224,1.132,61.95,-54.7
35,35,30,43.5,1.066,-54.4,0.8,0.878,0.523,27.41,-52.4,1.224,1.124,61.14,-54.4
35,40,25,42.48,1.069,-53.9,0.788,0.886,0.52,26.41,-50.8,1.224,1.114,60.1,-53.9
35,45,20,41.25,1.071,-53.3,0.775,0.893,0.515,25.32,-49.2,1.224,1.103,58.72,-53.3
35,50,15,39.7,1.072,-52.2,0.761,0.898,0.507,24.1,-47.5,1.224,1.088,56.77,-52.2
35,55,10,37.59,1.072,-50.3,0.748,0.9,0.497,22.73,-45.7,1.224,1.07,53.76,-50.3
35,60,5,34.23,1.073,-45.6,0.75,0.895,0.483,21.17,-43.8,1.226,1.058,48.29,-45.6
35,65,0,24.74,1.052,-41.9,0.591,0.876,0.462,19.34,-41.9,1.221,0.849,30.31,-35.7
40,0,60,47.46,1.043,-59.9,0.793,0.838,0.534,31.95,-59.9,1.224,1.153,64.38,-55.8
40,5,55,46.96,1.047,-58.6,0.801,0.843,0.534,31.3,-58.6,1.224,1.152,64.06,-55.6
40,10,50,46.4,1.051,-57.4,0.809,0.849,0.533,30.6,-57.4,1.224,1.149,63.68,-55.4
40,15,45,45.8,1.055,-56.0,0.817,0.855,0.533,29.86,-56.0,1.224,1.144,63.24,-55.3
40,20,40,45.12,1.059,-55.1,0.819,0.861,0.532,29.07,-54.7,1.224,1.139,62.71,-55.1
40,25,35,44.36,1.062,-54.8,0.809,0.868,0.53,28.21,-53.2,1.224,1.132,62.07,-54.8
40,30,30,43.49,1.065,-54.5,0.798,0.875,0.528,27.29,-51.7,1.224,1.124,61.26,-54.5
40,35,25,42.47,1.068,-54.0,0.786,0.883,0.524,26.28,-50.1,1.224,1.115,60.24,-54.0
40,40,20,41.24,1.07,-53.4,0.772,0.891,0.519,25.17,-48.5,1.224,1.102,58.86,-53.4
40,45,15,39.68,1.071,-52.4,0.758,0.897,0.512,23.94,-46.8,1.223,1.087,56.92,-52.4
40,50,10,37.56,1.072,-50.5,0.744,0.9,0.502,22.55,-45.0,1.223,1.068,53.92,-50.5
40,55,5,34.18,1.073,-46.0,0.744,0.896,0.487,20.96,-43.0,1.226,1.054,48.43,-46.0
40,60,0,24.48,1.057,-41.0,0.596,0.878,0.465,19.09,-41.0,1.227,0.861,30.02,-34.9
45,0,55,46.95,1.046,-58.1,0.808,0.84,0.537,31.21,-58.1,1.224,1.153,64.15,-55.6
45,5,50,46.4,1.05,-56.8,0.817,0.846,0.537,30.51,-56.8,1.224,1.149,63.78,-55.5
45,10,45,45.79,1.054,-55.5,0.826,0.851,0.537,29.76,-55.5,1.224,1.145,63.34,-55.3
45,15,40,45.11,1.058,-55.1,0.818,0.858,0.536,28.96,-54.1,1.224,1.139,62.82,-55.1
45,20,35,44.35,1.061,-54.9,0.808,0.865,0.534,28.1,-52.6,1.224,1.133,62.18,-54.9
45,25,30,43.48,1.064,-54.6,0.796,0.872,0.532,27.16,-51.1,1.224,1.125,61.39,-54.6
45,30,25,42.46,1.066,-54.2,0.784,0.88,0.529,26.14,-49.5,1.223,1.115,60.37,-54.2
45,35,20,41.22,1.068,-53.5,0.77,0.888,0.524,25.02,-47.8,1.223,1.102,59.01,-53.5
45,40,15,39.66,1.07,-52.5,0.755,0.895,0.516,23.77,-46.0,1.223,1.086,57.08,-52.5
45,45,10,37.53,1.07,-50.7,0.74,0.899,0.506,22.36,-44.2,1.223,1.066,54.09,-50.7
45,50,5,34.14,1.072,-46.3,0.737,0.897,0.491,20.74,-42.3,1.225,1.049,48.58,-46.3
45,55,0,24.2,1.061,-40.2,0.602,0.88,0.468,18.83,-40.2,1.234,0.874,29.71,-34.0
50,0,50,46.39,1.049,-56.2,0.825,0.843,0.541,30.41,-56.2,1.224,1.15,63.87,-55.5
50,5,45,45.78,1.052,-55.4,0.826,0.848,0.541,29.66,-54.9,1.224,1.145,63.44,-55.4
50,10,40,45.1,1.056,-55.2,0.817,0.855,0.54,28.85,-53.4,1.224,1.14,62.93,-55.2
50,15,35,44.34,1.059,-55.0,0.806,0.862,0.539,27.98,-52.0,1.223,1.133,62.3,-55.0
50,20,30,43.47,1.062,-54.7,0.795,0.869,0.536,27.04,-50.4,1.223,1.125,61.52,-54.7
50,25,25,42.44,1.065,-54.3,0.782,0.877,0.533,26.01,-48.8,1.223,1.115,60.51,-54.3
50,30,20,41.21,1.067,-53.7,0.768,0.885,0.528,24.87,-47.1,1.223,1.102,59.15,-53.7
50,35,15,39.64,1.068,-52.7,0.752,0.893,0.521,23.6,-45.3,1.222,1.086,57.24,-52.7
50,40,10,37.51,1.069,-51.0,0.736,0.898,0.511,22.17,-43.4,1.222,1.065,54.25,-51.0
50,45,5,34.09,1.071,-46.7,0.731,0.896,0.495,20.52,-41.4,1.224,1.044,48.73,-46.7
50,50,0,23.9,1.065,-39.4,0.607,0.881,0.472,18.57,-39.4,1.241,0.888,29.38,-33.1
