variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,breadth_60_sessions_ago,breadth_on_signal,breadth_fall_60_points,ndx_return_60_pct,original_price_rise_met,rolling_breadth_max_60,breadth_drawdown_60_points
drawdown_15,2005-05-18,2005-05-26,1493.03,1540.05,3.0462026643925624,0.0,11755.19603410982,MA200-recross,rolling-breadth-drawdown,2005-06-10,2005-05-25,,59.32,,,False,83.32,23.999999999999993
drawdown_15,2006-09-18,2007-07-27,1631.48,1988.85,21.78280726261039,-0.6380709539804399,14313.589901489357,MA200-recross,rolling-breadth-drawdown,2007-08-11,2007-07-26,,57.06,,,True,86.21,29.14999999999999
drawdown_15,2008-01-23,2008-01-25,1725.46,1860.92,7.742863352091785,0.0,15419.794179706965,VIX,rolling-breadth-drawdown,2008-02-09,2008-01-24,,23.88,,,False,61.84,37.96000000000001
drawdown_15,2008-03-17,2008-03-19,1680.54,1765.1,4.926736769666045,0.0,16177.437581997716,VIX,rolling-breadth-drawdown,2008-04-03,2008-03-18,,26.53,,,False,52.86,26.33
drawdown_15,2008-05-02,2008-06-12,1996.31,1941.68,-2.833763776426369,-3.60565242873101,15717.035553482843,MA200-recross,rolling-breadth-drawdown,2008-06-27,2008-06-11,,37.65,,,True,55.98,18.33
drawdown_15,2008-09-18,2008-09-23,1668.33,1678.94,0.5353796341536156,-0.14325702948456676,15799.176007132533,VIX,rolling-breadth-drawdown,2008-10-08,2008-09-22,,28.28,,,False,45.45,17.17
drawdown_15,2008-10-10,2008-10-14,1234.9,1470.85,18.987762981413173,0.0,18796.896222753345,VIX,rolling-breadth-drawdown,2008-10-29,2008-10-13,,5.25,,,False,45.45,40.2
drawdown_15,2008-10-31,2008-11-04,1318.39,1363.3,3.303072786455088,0.0,19415.73835585745,VIX,rolling-breadth-drawdown,2008-11-19,2008-11-03,,6.67,,,False,45.45,38.78
drawdown_15,2008-11-21,2008-11-25,1059.69,1164.36,9.767594474710094,0.0,21310.091266783606,VIX,rolling-breadth-drawdown,2008-12-10,2008-11-24,,3.43,,,False,41.01,37.58
drawdown_15,2008-12-12,2008-12-16,1161.59,1194.82,2.7579246645928936,0.0,21895.779950630844,VIX,rolling-breadth-drawdown,2008-12-31,2008-12-15,,3.23,,,False,28.89,25.66
drawdown_15,2009-01-05,2009-01-14,1254.7,1183.79,-5.745851470534764,-4.269546505140666,20635.73841486717,VIX,climax-top,2009-01-29,2009-01-13,,,,,,,
drawdown_15,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,21067.703440479858,VIX,climax-top,2009-03-05,2009-02-17,,,,,,,
drawdown_15,2009-03-09,2009-05-14,1058.85,1348.33,27.21181884384815,0.0,26798.336617073965,VIX,rolling-breadth-drawdown,2009-05-29,2009-05-13,,26.81,,,True,45.77,18.960000000000004
drawdown_15,2010-05-24,2010-05-26,1818.46,1827.58,0.4010719693220312,-0.15287660987868706,26903.81322276992,MA200-recross,rolling-breadth-drawdown,2010-06-10,2010-05-25,,50.6,,,False,94.2,43.6
drawdown_15,2010-07-14,2010-07-16,1847.92,1845.5,-0.23077718251570972,0.0,26839.72766839695,MA200-recross,rolling-breadth-drawdown,2010-07-31,2010-07-15,,52.8,,,False,93.0,40.2
drawdown_15,2010-09-07,2011-07-28,1862.88,2367.44,26.95792230999506,0.0,34072.891022234544,MA200-recross,rolling-breadth-drawdown,2011-08-12,2011-07-27,,56.42,,,False,92.59,36.17
drawdown_15,2011-08-17,2011-08-19,2193.3,2053.01,-6.489854739798282,-5.4835179865955395,31859.67478778915,VIX,rolling-breadth-drawdown,2011-09-03,2011-08-18,,16.6,,,False,87.77,71.16999999999999
drawdown_15,2011-09-07,2011-09-09,2198.61,2197.72,-0.1403896866272572,0.0,31812.948494090975,VIX,rolling-breadth-drawdown,2011-09-24,2011-09-08,,28.0,,,False,82.12,54.120000000000005
drawdown_15,2011-09-27,2011-09-29,2270.69,2255.55,-0.7660412821039062,-2.1953679278104854,31567.255835984608,VIX,rolling-breadth-drawdown,2011-10-14,2011-09-28,,22.2,,,False,82.12,59.92
drawdown_15,2011-11-23,2011-11-28,2199.46,2207.68,0.27340453058277714,-2.2087239595173327,31651.55940957554,VIX,rolling-breadth-drawdown,2011-12-13,2011-11-25,,18.39,,,False,53.0,34.61
drawdown_15,2011-12-27,2012-05-17,2284.29,2562.13,12.050972093069982,-0.7534069667161366,35463.759491324025,MA200-recross,rolling-breadth-drawdown,2012-06-01,2012-05-16,,59.4,,,False,85.77,26.369999999999997
drawdown_15,2012-11-02,2012-11-08,2701.91,2620.25,-3.1192356714226177,-3.302108508425514,34355.59244719984,MA200-recross,rolling-breadth-drawdown,2012-11-23,2012-11-07,,56.79,,,False,78.59,21.800000000000004
drawdown_15,2012-11-30,2012-12-05,2680.55,2660.68,-0.8404749146569891,-0.47229113428215513,34064.85071564848,MA200-recross,rolling-breadth-drawdown,2012-12-20,2012-12-04,,58.91,,,False,78.59,19.680000000000007
drawdown_15,2013-01-03,2014-02-04,2742.13,3460.13,26.05790386306996,-1.5010229274323357,42939.17618719183,MA200-recross,rolling-breadth-drawdown,2014-02-19,2014-02-03,,59.03,,,False,83.96,24.929999999999993
drawdown_15,2014-10-20,2014-10-22,3813.59,3980.49,4.2721293912133875,0.0,44771.55063213584,MA200-recross,rolling-breadth-drawdown,2014-11-06,2014-10-21,,55.79,,,False,81.0,25.21
drawdown_15,2015-08-25,2015-08-27,4187.28,4281.63,2.151050556569611,0.0,45732.58781068768,VIX,rolling-breadth-drawdown,2015-09-11,2015-08-26,,25.89,,,False,60.95,35.06
drawdown_15,2015-10-16,2015-10-21,4419.94,4462.22,0.8556679501306252,0.0,46121.89835066958,MA200-recross,rolling-breadth-drawdown,2015-11-05,2015-10-20,,40.39,,,False,55.57,15.18
drawdown_15,2016-03-30,2016-06-27,4494.7,4247.71,-5.589596351400451,-4.64992101808797,43541.926299227445,MA200-recross,rolling-breadth-drawdown,2016-07-12,2016-06-24,,59.0,,,False,75.19,16.189999999999998
drawdown_15,2018-10-15,2018-10-17,7129.31,7310.0,2.431983644608159,0.0,44598.834505535546,MA200-recross,rolling-breadth-drawdown,2018-11-01,2018-10-16,,50.59,,,False,70.03,19.439999999999998
drawdown_15,2018-12-24,2018-12-27,5994.08,6168.6,2.808679276196219,0.0,45849.444640924805,VIX,rolling-breadth-drawdown,2019-01-11,2018-12-26,,15.13,,,False,62.77,47.64
drawdown_15,2019-02-19,2019-05-14,7033.37,7366.64,4.633725248056935,-0.25137309710708083,47971.93559609275,MA200-recross,rolling-breadth-drawdown,2019-05-29,2019-05-13,,55.84,,,True,72.47,16.629999999999995
drawdown_15,2020-03-02,2020-03-04,8569.91,8745.64,1.9485470749947709,0.0,48904.67185849804,VIX+MA200,rolling-breadth-drawdown,2020-03-19,2020-03-03,,33.66,,,True,84.35,50.69
drawdown_15,2020-03-23,2020-03-25,6952.71,7543.96,8.395428690322957,0.0,53008.34475632777,VIX,rolling-breadth-drawdown,2020-04-09,2020-03-24,,4.55,,,False,84.35,79.8
drawdown_15,2020-04-14,2020-04-16,8489.27,8689.09,2.2514922057351665,0.0,54199.80099198366,VIX+MA200,rolling-breadth-drawdown,2020-05-01,2020-04-15,,18.01,,,False,81.98,63.97
drawdown_15,2020-05-05,2020-05-07,8922.39,9104.67,1.9409584210057003,0.0,55249.77718392169,VIX+MA200,rolling-breadth-drawdown,2020-05-22,2020-05-06,,23.76,,,False,78.01,54.25
drawdown_15,2022-02-03,2022-02-07,14693.85,14716.43,0.05356611465159132,0.0,55277.37180725163,MA200-recross,rolling-breadth-drawdown,2022-02-22,2022-02-04,,48.31,,,False,74.65,26.340000000000003
drawdown_15,2022-03-30,2022-04-01,15177.15,14886.91,-2.0103871297632683,-2.2313807269480757,54164.10274263855,MA200-recross,rolling-breadth-drawdown,2022-04-16,2022-03-31,,51.28,,,False,71.88,20.599999999999994
drawdown_15,2022-06-14,2022-06-16,11385.18,11286.87,-0.9625779248576266,0.0,53640.74067221996,VIX,rolling-breadth-drawdown,2022-07-01,2022-06-15,,16.43,,,False,59.2,42.77
drawdown_15,2022-09-27,2022-09-29,11411.34,11334.57,-0.7720294509428843,0.0,53224.626076821034,VIX,rolling-breadth-drawdown,2022-10-14,2022-09-28,,14.71,,,False,47.51,32.8
drawdown_15,2022-10-18,2022-10-20,11368.76,11081.23,-2.626545833968897,-2.334291514641887,51824.68314341311,VIX,rolling-breadth-drawdown,2022-11-04,2022-10-19,,19.88,,,False,47.51,27.63
drawdown_15,2023-01-27,2023-02-27,12000.21,12106.79,0.7873133917641332,-0.7318205264741177,52230.69794090662,MA200-recross,rolling-breadth-drawdown,2023-03-14,2023-02-24,,57.25,,,True,75.94,18.689999999999998
drawdown_15,2023-10-30,2023-11-01,14283.98,14453.68,1.0869067530785335,0.0,52796.386054938856,MA200,rolling-breadth-drawdown,2023-11-16,2023-10-31,,30.21,,,False,61.82,31.61
drawdown_15,2025-04-07,2025-04-09,16771.77,17116.53,1.9535923995380633,0.0,53825.792704214924,VIX,rolling-breadth-drawdown,2025-04-24,2025-04-08,,17.69,,,False,63.61,45.92
drawdown_15,2025-05-13,2025-11-05,20906.92,25433.22,21.52818057492388,0.0,65411.291271656766,MA200-recross,rolling-breadth-drawdown,2025-11-20,2025-11-04,,52.48,,,True,67.99,15.509999999999998
drawdown_20,2002-07-24,2002-07-26,875.48,905.88,3.3689601948237877,0.0,10334.862329880429,VIX,rolling-breadth-drawdown,2002-08-10,2002-07-25,,29.7,,,False,74.23,44.53
drawdown_20,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,12528.779873816746,VIX,climax-top,2002-11-27,2002-11-11,,,,,,,
drawdown_20,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,12696.580160409476,MA200-recross,climax-top,2003-04-02,2003-03-17,,,,,,,
drawdown_20,2004-03-25,2004-05-07,1394.2,1411.05,1.1074203968163812,0.0,12835.173604600022,MA200-recross,rolling-breadth-drawdown,2004-05-22,2004-05-06,,59.59,,,False,98.21,38.61999999999999
drawdown_20,2004-05-26,2004-05-28,1443.13,1464.83,1.4022230879391018,0.0,13013.137350029909,MA200-recross,rolling-breadth-drawdown,2004-06-12,2004-05-27,,57.67,,,False,96.79,39.120000000000005
drawdown_20,2005-03-31,2005-04-14,1489.44,1461.83,-1.951814067721746,-1.8637877323020726,12757.16462272075,MA200-recross,rolling-breadth-drawdown,2005-04-29,2005-04-13,,58.62,,,False,86.0,27.380000000000003
drawdown_20,2005-05-18,2005-05-26,1493.03,1540.05,3.0462026643925624,0.0,13143.743249332372,MA200-recross,rolling-breadth-drawdown,2005-06-10,2005-05-25,,59.32,,,False,83.32,23.999999999999993
drawdown_20,2006-09-18,2007-07-27,1631.48,1988.85,21.78280726261039,-0.6380709539804399,16004.60168035418,MA200-recross,rolling-breadth-drawdown,2007-08-11,2007-07-26,,57.06,,,True,86.21,29.14999999999999
drawdown_20,2008-01-23,2008-01-25,1725.46,1860.92,7.742863352091785,0.0,17241.738689877067,VIX,rolling-breadth-drawdown,2008-02-09,2008-01-24,,23.88,,,False,61.84,37.96000000000001
drawdown_20,2008-03-17,2008-03-19,1680.54,1765.1,4.926736769666045,0.0,18089.14450227328,VIX,rolling-breadth-drawdown,2008-04-03,2008-03-18,,26.53,,,False,52.86,26.33
drawdown_20,2008-05-02,2008-06-24,1996.31,1906.84,-4.577239359441751,-4.1576709028156955,17259.206832722528,MA200-recross,rolling-breadth-drawdown,2008-07-09,2008-06-23,,35.56,,,True,55.98,20.419999999999995
drawdown_20,2008-08-11,2008-09-18,1921.76,1668.33,-13.274159949831091,-15.054429273166262,14966.324853274262,MA200-recross,rolling-breadth-drawdown,2008-10-03,2008-09-17,,21.62,,,False,45.45,23.830000000000002
drawdown_20,2008-10-07,2008-10-09,1416.28,1349.55,-4.806879682140454,-6.048945123845573,14244.959693535906,VIX,rolling-breadth-drawdown,2008-10-24,2008-10-08,,4.44,,,False,45.45,41.010000000000005
drawdown_20,2008-10-28,2008-10-30,1210.03,1333.27,10.074741642922028,0.0,15678.001832381598,VIX,rolling-breadth-drawdown,2008-11-14,2008-10-29,,4.04,,,False,45.45,41.410000000000004
drawdown_20,2008-11-18,2008-11-20,1158.08,1076.5,-7.13732747469865,-6.085935341254492,14557.082873390016,VIX,rolling-breadth-drawdown,2008-12-05,2008-11-19,,2.63,,,False,45.45,42.82
drawdown_20,2008-12-09,2008-12-11,1204.72,1210.84,0.40754408638035733,0.0,14614.405328349141,VIX,rolling-breadth-drawdown,2008-12-26,2008-12-10,,4.04,,,False,41.01,36.97
drawdown_20,2008-12-30,2009-01-14,1182.15,1183.79,0.03864159363872639,0.0,14618.052181052903,VIX,climax-top,2009-01-29,2009-01-13,,,,,,,
drawdown_20,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14923.46046007244,VIX,climax-top,2009-03-05,2009-02-17,,,,,,,
drawdown_20,2009-03-09,2010-05-21,1058.85,1772.34,67.21618224745116,0.0,24951.76867871857,VIX,rolling-breadth-drawdown,2010-06-05,2010-05-20,,50.6,,,False,94.2,43.6
drawdown_20,2010-06-11,2010-06-15,1814.25,1855.69,2.1819064286239227,0.0,25494.171104510617,MA200-recross,rolling-breadth-drawdown,2010-06-30,2010-06-14,,55.8,,,False,94.2,38.400000000000006
drawdown_20,2010-07-23,2010-07-28,1851.81,1887.46,1.823269301838262,0.0,25956.980267324263,MA200-recross,rolling-breadth-drawdown,2010-08-12,2010-07-27,,58.2,,,False,89.4,31.200000000000003
drawdown_20,2011-06-22,2011-07-28,2243.21,2367.44,5.43256062198528,-1.1657401669928402,27365.054630377188,MA200-recross,rolling-breadth-drawdown,2011-08-12,2011-07-27,,56.42,,,False,92.59,36.17
drawdown_20,2011-08-17,2011-08-19,2193.3,2053.01,-6.489854739798282,-5.4835179865955395,25587.16723394666,VIX,rolling-breadth-drawdown,2011-09-03,2011-08-18,,16.6,,,False,87.77,71.16999999999999
drawdown_20,2011-09-07,2011-09-09,2198.61,2197.72,-0.1403896866272572,0.0,25549.246893946995,VIX,rolling-breadth-drawdown,2011-09-24,2011-09-08,,28.0,,,False,82.12,54.120000000000005
drawdown_20,2011-09-27,2011-09-29,2270.69,2255.55,-0.7660412821039062,-2.1953679278104854,25351.536775885532,VIX,rolling-breadth-drawdown,2011-10-14,2011-09-28,,22.2,,,False,82.12,59.92
drawdown_20,2011-11-23,2011-11-28,2199.46,2207.68,0.27340453058277714,-2.2087239595173327,25418.846291957856,VIX,rolling-breadth-drawdown,2011-12-13,2011-11-25,,18.39,,,False,53.0,34.61
drawdown_20,2011-12-27,2012-05-17,2284.29,2562.13,12.050972093069982,-0.7534069667161366,28479.94385526112,MA200-recross,rolling-breadth-drawdown,2012-06-01,2012-05-16,,59.4,,,False,85.77,26.369999999999997
drawdown_20,2012-11-02,2012-11-08,2701.91,2620.25,-3.1192356714226177,-3.302108508425514,27589.6184796834,MA200-recross,rolling-breadth-drawdown,2012-11-23,2012-11-07,,56.79,,,False,78.59,21.800000000000004
drawdown_20,2012-11-30,2014-02-04,2680.55,3460.13,28.95381914907015,-2.7677155807576823,35575.57718001787,MA200-recross,rolling-breadth-drawdown,2014-02-19,2014-02-03,,59.03,,,False,83.96,24.929999999999993
drawdown_20,2014-10-20,2014-10-22,3813.59,3980.49,4.2721293912133875,0.0,37093.36914752531,MA200-recross,rolling-breadth-drawdown,2014-11-06,2014-10-21,,55.79,,,False,81.0,25.21
drawdown_20,2015-08-25,2015-08-27,4187.28,4281.63,2.151050556569611,0.0,37889.244760518006,VIX,rolling-breadth-drawdown,2015-09-11,2015-08-26,,25.89,,,False,60.95,35.06
drawdown_20,2015-10-16,2016-01-08,4419.94,4336.12,-1.994460400446337,-2.584197975538115,37131.578722345286,MA200-recross,rolling-breadth-drawdown,2016-01-23,2016-01-07,,27.97,,,False,53.26,25.29
drawdown_20,2016-03-22,2016-06-28,4403.47,4245.32,-3.6878461395399493,-4.596602225063412,35760.26010834443,MA200-recross,rolling-breadth-drawdown,2016-07-13,2016-06-27,,51.08,,,False,75.19,24.11
drawdown_20,2018-10-15,2018-10-18,7129.31,7250.93,1.6042603513267755,0.0,36331.93174019041,MA200-recross,rolling-breadth-drawdown,2018-11-02,2018-10-17,,48.21,,,False,70.03,21.82
drawdown_20,2018-12-24,2018-12-27,5994.08,6168.6,2.808679276196219,0.0,37350.35109082613,VIX,rolling-breadth-drawdown,2019-01-11,2018-12-26,,15.13,,,False,62.77,47.64
drawdown_20,2019-02-19,2019-05-29,7033.37,7222.55,2.5871105809912787,-0.25137309710708083,38314.62010482848,MA200-recross,rolling-breadth-drawdown,2019-06-13,2019-05-28,,51.88,,,False,72.47,20.589999999999996
drawdown_20,2020-03-02,2020-03-04,8569.91,8745.64,1.9485470749947709,0.0,39059.17902870572,VIX+MA200,rolling-breadth-drawdown,2020-03-19,2020-03-03,,33.66,,,True,84.35,50.69
drawdown_20,2020-03-23,2020-03-25,6952.71,7543.96,8.395428690322957,0.0,42336.280596799385,VIX,rolling-breadth-drawdown,2020-04-09,2020-03-24,,4.55,,,False,84.35,79.8
drawdown_20,2020-04-14,2020-04-16,8489.27,8689.09,2.2514922057351665,0.0,43287.456139712434,VIX+MA200,rolling-breadth-drawdown,2020-05-01,2020-04-15,,18.01,,,False,81.98,63.97
drawdown_20,2020-05-05,2020-05-07,8922.39,9104.67,1.9409584210057003,0.0,44125.62825531112,VIX+MA200,rolling-breadth-drawdown,2020-05-22,2020-05-06,,23.76,,,False,78.01,54.25
drawdown_20,2022-02-03,2022-02-07,14693.85,14716.43,0.05356611465159132,0.0,44147.264104271955,MA200-recross,rolling-breadth-drawdown,2022-02-22,2022-02-04,,48.31,,,False,74.65,26.340000000000003
drawdown_20,2022-03-30,2022-04-01,15177.15,14886.91,-2.0103871297632683,-2.2313807269480757,43257.75329244837,MA200-recross,rolling-breadth-drawdown,2022-04-16,2022-03-31,,51.28,,,False,71.88,20.599999999999994
drawdown_20,2022-06-14,2022-06-16,11385.18,11286.87,-0.9625779248576266,0.0,42839.37333424514,VIX,rolling-breadth-drawdown,2022-07-01,2022-06-15,,16.43,,,False,59.2,42.77
drawdown_20,2022-09-27,2022-09-29,11411.34,11334.57,-0.7720294509428843,0.0,42506.648475799906,VIX,rolling-breadth-drawdown,2022-10-14,2022-09-28,,14.71,,,False,47.51,32.8
drawdown_20,2022-10-18,2022-10-20,11368.76,11081.23,-2.626545833968897,-2.334291514641887,41388.21813655732,VIX,rolling-breadth-drawdown,2022-11-04,2022-10-19,,19.88,,,False,47.51,27.63
drawdown_20,2023-01-27,2023-03-01,12000.21,12026.72,0.12074197330567239,-0.7318205264741177,41436.189880431724,MA200-recross,rolling-breadth-drawdown,2023-03-16,2023-02-28,,55.66,,,False,75.94,20.28
drawdown_20,2023-10-30,2023-11-01,14283.98,14453.68,1.0869067530785335,0.0,41884.551757393056,MA200,rolling-breadth-drawdown,2023-11-16,2023-10-31,,30.21,,,False,61.82,31.61
drawdown_20,2025-04-07,2025-04-09,16771.77,17116.53,1.9535923995380633,0.0,42700.78564118208,VIX,rolling-breadth-drawdown,2025-04-24,2025-04-08,,17.69,,,False,63.61,45.92
drawdown_20,2025-05-13,2026-03-19,20906.92,24119.37,15.250178809973782,0.0,49210.57930293786,MA200-recross,rolling-breadth-drawdown,2026-04-03,2026-03-18,,47.11,,,False,67.52,20.409999999999997
drawdown_25,2002-07-24,2002-07-26,875.48,905.88,3.3689601948237877,0.0,10334.862329880429,VIX,rolling-breadth-drawdown,2002-08-10,2002-07-25,,29.7,,,False,74.23,44.53
drawdown_25,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,12528.779873816746,VIX,climax-top,2002-11-27,2002-11-11,,,,,,,
drawdown_25,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,12696.580160409476,MA200-recross,climax-top,2003-04-02,2003-03-17,,,,,,,
drawdown_25,2004-03-25,2004-05-07,1394.2,1411.05,1.1074203968163812,0.0,12835.173604600022,MA200-recross,rolling-breadth-drawdown,2004-05-22,2004-05-06,,59.59,,,False,98.21,38.61999999999999
drawdown_25,2004-05-26,2004-05-28,1443.13,1464.83,1.4022230879391018,0.0,13013.137350029909,MA200-recross,rolling-breadth-drawdown,2004-06-12,2004-05-27,,57.67,,,False,96.79,39.120000000000005
drawdown_25,2005-03-31,2005-04-14,1489.44,1461.83,-1.951814067721746,-1.8637877323020726,12757.16462272075,MA200-recross,rolling-breadth-drawdown,2005-04-29,2005-04-13,,58.62,,,False,86.0,27.380000000000003
drawdown_25,2005-05-18,2005-10-13,1493.03,1519.36,1.6618151879299177,-0.16744472649578374,12967.148503818466,MA200-recross,rolling-breadth-drawdown,2005-10-28,2005-10-12,,48.07,,,False,77.48,29.410000000000004
drawdown_25,2006-09-18,2007-07-27,1631.48,1988.85,21.78280726261039,-0.6380709539804399,15789.539641789082,MA200-recross,rolling-breadth-drawdown,2007-08-11,2007-07-26,,57.06,,,True,86.21,29.14999999999999
drawdown_25,2008-01-23,2008-01-25,1725.46,1860.92,7.742863352091785,0.0,17010.02469154365,VIX,rolling-breadth-drawdown,2008-02-09,2008-01-24,,23.88,,,False,61.84,37.96000000000001
drawdown_25,2008-03-17,2008-03-19,1680.54,1765.1,4.926736769666045,0.0,17846.01456518351,VIX,rolling-breadth-drawdown,2008-04-03,2008-03-18,,26.53,,,False,52.86,26.33
drawdown_25,2008-05-02,2008-06-27,1996.31,1854.39,-7.201960781059337,-7.0590238990938206,16558.823614824665,MA200-recross,rolling-breadth-drawdown,2008-07-12,2008-06-26,,30.1,,,False,55.98,25.879999999999995
drawdown_25,2008-08-11,2008-09-30,1921.76,1540.51,-19.91870681718502,-22.146886187661305,13258.719273681114,MA200-recross,rolling-breadth-drawdown,2008-10-15,2008-09-29,,16.16,,,False,45.45,29.290000000000003
drawdown_25,2008-10-17,2008-10-21,1291.58,1329.68,2.8469769203414668,0.0,13634.163481566477,VIX,rolling-breadth-drawdown,2008-11-05,2008-10-20,,4.44,,,False,45.45,41.010000000000005
drawdown_25,2008-11-07,2008-11-11,1258.43,1236.45,-1.84482506646837,-0.5904182195275115,13380.655464305926,VIX,rolling-breadth-drawdown,2008-11-26,2008-11-10,,4.44,,,False,45.45,41.010000000000005
drawdown_25,2008-12-01,2008-12-03,1156.53,1103.94,-4.642628233236221,-2.2939309831997416,12757.487802210326,VIX,rolling-breadth-drawdown,2008-12-18,2008-12-02,,2.83,,,False,41.01,38.18
drawdown_25,2008-12-22,2009-01-14,1212.31,1183.79,-2.450132259966473,-3.2301968968333066,12442.936979329683,VIX,climax-top,2009-01-29,2009-01-13,,,,,,,
drawdown_25,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,12702.60084883704,VIX,climax-top,2009-03-05,2009-02-17,,,,,,,
