Date,frozen_baseline,prior_70_30,boost_5%,boost_10%,boost_15%,primary_breadth_bucket,primary_ma200_bucket,primary_3x_drag
2002-04-26,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-29,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-30,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-01,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-02,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-03,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-06,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-07,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-08,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-09,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-10,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-13,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-14,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-15,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-16,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-17,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-20,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-21,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-22,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-23,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-24,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-28,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-29,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-30,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-05-31,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-03,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-05,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-06,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-07,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-10,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-11,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-12,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-13,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-14,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-17,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-18,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-19,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-20,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-21,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-24,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-25,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-26,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-27,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-06-28,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-01,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-02,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-03,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-05,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-08,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-09,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-10,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-11,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-12,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-15,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-16,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-17,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-18,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-19,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-22,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-23,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-07-24,10857.287803978033,10599.775711575383,10692.108464407796,10785.527054604341,10878.94564480089,7785.527054604341,3000.0,10785.259118872651
2002-07-25,10205.448912617068,10143.508044745162,10153.82924668826,10165.171095587313,10176.512944486369,7165.171095587313,3000.0,10164.634535170117
2002-07-26,10393.253361274543,10274.965524108464,10304.606088309232,10335.286081789056,10365.966075268881,7335.286081789056,3000.0,10334.460248551344
2002-07-29,11068.938625520932,10747.92493649575,10850.969056009882,10955.120180087022,11059.271304164164,7955.120180087022,3000.0,10953.859423811646
2002-07-30,11185.66034543381,10829.626638432965,10947.542002186019,11066.576043841405,11185.610085496795,8066.576043841405,3000.0,11064.948272350723
2002-07-31,10977.43244822853,10683.873357850933,10774.258468811513,10865.741432802217,10957.224396792923,7865.741432802218,3000.0,10863.867250198156
2002-08-01,10423.831485357292,10296.369293530923,10317.53951949758,10339.752232861516,10361.964946225453,7339.752232861516,3000.0,10337.843289214306
2002-08-02,10183.314001900453,10128.014271357264,10123.55599784736,10120.116157580971,10116.676317314583,7120.11615758097,3000.0,10118.06935967808
2002-08-05,9779.066637627411,9845.053244999925,9800.564842679316,9757.054444822912,9713.544046966512,6757.054444822913,3000.0,9755.000232275535
2002-08-06,10290.565631145912,10203.08719395842,10202.805061012012,10203.552087544664,10204.299114077317,7203.552087544664,3000.0,10200.954402438336
2002-08-07,10486.471000735753,10340.215074922446,10359.478738974443,10379.79115500171,10400.103571028978,7379.791155001711,3000.0,10376.789388774054
2002-08-08,10807.769498560447,10565.114383480806,10618.269043236529,10672.504588030613,10726.740132824696,7672.504588030613,3000.0,10668.956706365065
2002-08-09,10694.698897941033,10485.96835550448,10526.053074374693,10567.207370092383,10608.361665810075,7567.207370092383,3000.0,10563.475941495071
2002-08-13,10355.71529103863,10248.690001198058,10250.931503335343,10254.208680569242,10257.485857803142,7254.208680569242,3000.0,10250.546573050362
2002-08-14,11054.220050869162,10737.62237584091,10810.229776960165,10883.942710637757,10957.655644315353,7883.942710637757,3000.0,10879.281355720834
2002-08-15,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-16,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-19,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-20,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-21,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-22,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-23,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-26,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-27,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-28,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-29,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-08-30,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-03,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-04,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-05,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-06,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-09,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-10,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-11,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-12,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-13,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-16,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-17,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-18,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
