component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,extension_decision_date,extended_to_80,rotation_signal_date,rotation_date,trajectory_lookback,decision_ndx_above_ma200,decision_breadth,decision_past_breadth,decision_breadth_change,decision_requires_ma200,natural_extension_gate
breadth,2008-10-17,2008-11-05,1291.58,1359.82,5.886225334776385,-12.082243775200773,14238.273777300361,VIX,climax-top,2008-10-16,2008-11-04,True,2009-01-13,,,,20.0,,,,,,
breadth,2008-11-24,2009-01-14,1106.02,1183.79,7.538650409464043,-2.365167546070135,15311.647461713426,VIX,climax-top,2008-11-21,2009-01-13,True,2009-02-20,,,,20.0,,,,,,
breadth,2009-02-02,2009-02-18,1168.13,1193.89,2.4602369155289683,1.7165193825119607,15688.350264942153,VIX,climax-top,2009-01-30,2009-02-17,True,2009-04-28,,,,20.0,,,,,,
ma200,2009-05-01,2009-05-14,1396.22,1348.33,-3.5757279176648726,-4.15869633352397,3848.152493361858,NDX-above-MA200,NDX-below-MA200,2009-04-30,2009-05-13,,,,,,,,,,,,
ma200,2009-05-19,2010-05-21,1387.2,1772.34,27.57698618261193,-1.8559958774702179,4909.356974742094,NDX-above-MA200,NDX-below-MA200,2009-05-18,2010-05-20,,,,,,,,,,,,
ma200,2010-05-25,2010-05-27,1769.32,1837.65,3.7166215928623236,1.412342921074683,5091.819196136052,NDX-above-MA200,NDX-below-MA200,2010-05-24,2010-05-26,,,,,,,,,,,,
ma200,2010-06-01,2010-06-08,1846.6,1799.26,-2.699774217523443,-2.73963258240173,4954.351574275861,NDX-above-MA200,NDX-below-MA200,2010-05-28,2010-06-07,,,,,,,,,,,,
ma200,2010-06-11,2010-06-29,1814.25,1805.55,-0.6192594100502546,1.0772883908176212,4923.6712859451845,NDX-above-MA200,NDX-below-MA200,2010-06-10,2010-06-28,,,,,,,,,,,,
ma200,2010-07-14,2010-07-19,1847.92,1807.99,-2.298759497778047,-2.5222141791392927,4810.487924620149,NDX-above-MA200,NDX-below-MA200,2010-07-13,2010-07-16,,,,,,,,,,,,
ma200,2010-07-23,2010-08-12,1851.81,1808.63,-2.470462919903038,-0.46752584329099456,4691.646604175995,NDX-above-MA200,NDX-below-MA200,2010-07-22,2010-08-11,,,,,,,,,,,,
ma200,2010-09-07,2011-06-16,1862.88,2209.75,18.454960343353456,-0.463308425611908,5557.488124426964,NDX-above-MA200,NDX-below-MA200,2010-09-03,2011-06-15,,,,,,,,,,,,
ma200,2011-06-22,2011-06-27,2243.21,2217.63,-1.274904930191889,-1.28229123969118,5486.635434333815,NDX-above-MA200,NDX-below-MA200,2011-06-21,2011-06-24,,,,,,,,,,,,
ma200,2011-06-29,2011-08-05,2290.5,2227.49,-2.8840613265408543,-3.7506213264164145,5328.397503643907,NDX-above-MA200,NDX-below-MA200,2011-06-28,2011-08-04,,,,,,,,,,,,
breadth,2009-03-09,2011-09-19,1058.85,2277.64,138.99962064234796,-1.9381645724524166,37495.09761825454,VIX,bearish-divergence,2009-03-06,2011-09-16,True,2009-06-02,True,2009-06-30,2009-07-01,20.0,True,60.28,40.73,19.550000000000004,False,True
ma200,2011-09-19,2011-09-22,2277.64,2196.63,-3.6899959138990246,-0.9668152687744569,5131.779853483149,NDX-above-MA200,NDX-below-MA200,2011-09-16,2011-09-21,,,,,,,,,,,,
ma200,2011-10-12,2011-11-18,2316.76,2273.64,-1.9979007486779832,-2.045238217055534,5029.251985369903,NDX-above-MA200,NDX-below-MA200,2011-10-11,2011-11-17,,,,,,,,,,,,
ma200,2011-12-01,2011-12-09,2294.27,2287.27,-0.4444398778297609,-0.6282982544474347,5006.8999839903745,NDX-above-MA200,NDX-below-MA200,2011-11-30,2011-12-08,,,,,,,,,,,,
ma200,2011-12-13,2011-12-15,2308.29,2253.14,-2.5262247375372637,-3.3764153901727267,4880.41443801106,NDX-above-MA200,NDX-below-MA200,2011-12-12,2011-12-14,,,,,,,,,,,,
ma200,2011-12-27,2011-12-29,2284.29,2272.56,-0.6537987871035433,-0.8729193253053658,4848.5063476097175,NDX-above-MA200,NDX-below-MA200,2011-12-23,2011-12-28,,,,,,,,,,,,
ma200,2012-01-04,2012-11-01,2316.53,2661.05,14.713135901635432,0.4477142094608366,5561.873675732956,NDX-above-MA200,NDX-below-MA200,2012-01-03,2012-10-31,,,,,,,,,,,,
ma200,2012-11-06,2012-11-08,2676.15,2620.25,-2.2222498244465094,-2.486432552884277,5438.274947738044,NDX-above-MA200,NDX-below-MA200,2012-11-05,2012-11-07,,,,,,,,,,,,
ma200,2012-11-30,2012-12-05,2680.55,2660.68,-0.8770967344434388,-0.5900521501382205,5390.576015761378,NDX-above-MA200,NDX-below-MA200,2012-11-29,2012-12-04,,,,,,,,,,,,
ma200,2012-12-12,2012-12-14,2694.4,2635.91,-2.3052599494857606,-1.6157413198670478,5266.309225823446,NDX-above-MA200,NDX-below-MA200,2012-12-11,2012-12-13,,,,,,,,,,,,
