qqq_pct,stock_pct,tqqq_pct,years,n_windows,deployed_usd,avg_final_usd,avg_return_pct,median_final_usd,median_return_pct,worst_final_usd,best_final_usd,pct_losing_windows
30,70,0,1,5910,1000000,1271461,27.1,1230702,23.1,425434,2728257,16.6
35,0,65,1,5910,1000000,1463685,46.4,1339819,34.0,279126,5344767,15.5
35,5,60,1,5910,1000000,1448487,44.8,1333397,33.3,291089,5140054,15.4
35,10,55,1,5910,1000000,1433288,43.3,1327382,32.7,303052,4935340,15.4
35,15,50,1,5910,1000000,1418089,41.8,1319308,31.9,315016,4730627,15.3
35,20,45,1,5910,1000000,1402891,40.3,1312691,31.3,326979,4525913,15.0
35,25,40,1,5910,1000000,1387692,38.8,1306341,30.6,338943,4321200,14.9
35,30,35,1,5910,1000000,1372493,37.2,1299858,30.0,350906,4116486,14.7
35,35,30,1,5910,1000000,1357295,35.7,1294367,29.4,362869,3911773,14.7
35,40,25,1,5910,1000000,1342096,34.2,1287501,28.8,374833,3707059,14.6
35,45,20,1,5910,1000000,1326897,32.7,1275631,27.6,386796,3502345,15.0
35,50,15,1,5910,1000000,1311699,31.2,1265836,26.6,398759,3297632,15.3
35,55,10,1,5910,1000000,1296500,29.6,1255367,25.5,410723,3092918,15.9
35,60,5,1,5910,1000000,1281301,28.1,1241891,24.2,422686,2888205,16.2
35,65,0,1,5910,1000000,1266103,26.6,1227650,22.8,434649,2683491,16.4
40,0,60,1,5910,1000000,1443128,44.3,1326850,32.7,300305,5095288,15.1
40,5,55,1,5910,1000000,1427930,42.8,1319842,32.0,312268,4890575,15.2
40,10,50,1,5910,1000000,1412731,41.3,1314650,31.5,324232,4685861,15.2
40,15,45,1,5910,1000000,1397532,39.8,1306856,30.7,336195,4481148,15.0
40,20,40,1,5910,1000000,1382334,38.2,1299615,30.0,348158,4276434,14.7
40,25,35,1,5910,1000000,1367135,36.7,1292727,29.3,360122,4071721,14.5
40,30,30,1,5910,1000000,1351936,35.2,1287941,28.8,372085,3867007,14.4
40,35,25,1,5910,1000000,1336738,33.7,1281921,28.2,384048,3662294,14.4
40,40,20,1,5910,1000000,1321539,32.2,1271838,27.2,396012,3457580,14.5
40,45,15,1,5910,1000000,1306340,30.6,1261192,26.1,407975,3252867,14.8
40,50,10,1,5910,1000000,1291142,29.1,1250471,25.0,419938,3048153,15.3
40,55,5,1,5910,1000000,1275943,27.6,1237637,23.8,431902,2843440,15.8
40,60,0,1,5910,1000000,1260744,26.1,1224780,22.5,443865,2638726,16.0
45,0,55,1,5910,1000000,1422571,42.3,1313455,31.3,321484,4845809,14.9
45,5,50,1,5910,1000000,1407373,40.7,1306318,30.6,333447,4641096,14.8
45,10,45,1,5910,1000000,1392174,39.2,1301337,30.1,345411,4436382,14.9
45,15,40,1,5910,1000000,1376975,37.7,1293340,29.3,357374,4231669,14.6
45,20,35,1,5910,1000000,1361777,36.2,1286772,28.7,369337,4026955,14.4
45,25,30,1,5910,1000000,1346578,34.7,1278618,27.9,381301,3822242,14.3
45,30,25,1,5910,1000000,1331379,33.1,1275860,27.6,393264,3617528,14.0
45,35,20,1,5910,1000000,1316181,31.6,1268524,26.9,405227,3412815,14.1
45,40,15,1,5910,1000000,1300982,30.1,1257619,25.8,417191,3208101,14.3
45,45,10,1,5910,1000000,1285783,28.6,1246557,24.7,429154,3003388,14.6
45,50,5,1,5910,1000000,1270585,27.1,1235161,23.5,441117,2798674,15.3
45,55,0,1,5910,1000000,1255386,25.5,1221579,22.2,453081,2593961,15.5
50,0,50,1,5910,1000000,1402015,40.2,1300789,30.1,342663,4596331,14.7
50,5,45,1,5910,1000000,1386816,38.7,1293269,29.3,354626,4391617,14.5
50,10,40,1,5910,1000000,1371617,37.2,1287175,28.7,366590,4186903,14.4
50,15,35,1,5910,1000000,1356418,35.6,1279174,27.9,378553,3982190,14.2
50,20,30,1,5910,1000000,1341220,34.1,1271808,27.2,390516,3777476,14.2
50,25,25,1,5910,1000000,1326021,32.6,1267398,26.7,402480,3572763,13.8
50,30,20,1,5910,1000000,1310822,31.1,1263860,26.4,414443,3368049,13.7
50,35,15,1,5910,1000000,1295624,29.6,1252690,25.3,426407,3163336,13.7
50,40,10,1,5910,1000000,1280425,28.0,1241958,24.2,438370,2958622,14.0
50,45,5,1,5910,1000000,1265226,26.5,1230943,23.1,450333,2753909,14.6
50,50,0,1,5910,1000000,1250028,25.0,1216806,21.7,462297,2549195,15.2
55,0,45,1,5910,1000000,1381458,38.1,1287619,28.8,363842,4346852,14.3
55,5,40,1,5910,1000000,1366259,36.6,1280314,28.0,375805,4142138,14.1
