Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2011-10-07,73.49,23.44,50.05,True,False,False,True,True,True,2202.76,2241.17,False
2011-10-10,73.49,29.85,43.63999999999999,True,False,False,True,True,True,2278.65,2272.64,False
2011-10-11,73.49,29.25,44.239999999999995,True,False,False,True,True,True,2294.92,2316.76,False
2011-10-12,73.49,30.26,43.22999999999999,True,False,False,True,True,True,2307.18,2300.86,False
2011-10-13,73.49,30.66,42.83,True,False,False,True,True,True,2326.88,2360.0,False
2011-10-14,73.09,33.26,39.830000000000005,True,False,False,True,True,True,2371.94,2359.53,False
2011-10-17,69.87,29.45,40.42,True,False,False,True,True,True,2334.38,2331.98,False
2011-10-18,66.86,34.2,32.66,True,False,False,True,True,True,2364.87,2348.52,False
2011-10-19,56.42,32.59,23.83,True,False,False,True,True,False,2316.81,2317.34,False
2011-10-20,54.81,32.4,22.410000000000004,True,False,False,True,True,False,2306.29,2332.21,False
2011-11-18,53.0,32.0,21.0,True,True,False,True,True,False,2253.95,2219.88,True
2011-11-21,53.0,27.2,25.8,True,False,False,True,True,True,2211.14,2205.31,False
2011-11-22,53.0,24.79,28.21,True,False,False,True,True,True,2216.33,2199.46,False
2011-11-23,53.0,18.79,34.21,True,False,False,True,True,True,2166.54,2159.94,False
2011-11-25,53.0,18.39,34.61,True,False,False,True,True,True,2150.88,2207.68,False
2011-11-28,53.0,26.0,27.0,True,False,False,True,True,True,2224.22,2225.12,False
2011-11-29,53.0,27.2,25.8,True,False,False,True,True,True,2211.39,2270.28,False
2011-12-14,53.0,31.12,21.88,True,False,False,True,True,False,2233.03,2253.14,True
2011-12-19,53.0,31.06,21.94,True,False,False,True,True,False,2215.27,2253.19,True
2012-05-16,85.77,59.4,26.369999999999997,True,False,False,True,True,True,2561.56,2562.13,True
2012-05-17,85.77,53.79,31.979999999999997,True,False,False,True,True,True,2509.05,2509.9,False
2012-05-18,85.77,50.2,35.56999999999999,True,False,False,True,True,True,2478.53,2482.31,False
