Date,ndx_buy_hold,baseline,drawdown_15,drawdown_20,drawdown_25
2012-05-29,15890.374381361033,49505.941436848734,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-30,15756.431671831046,49088.647308041895,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-31,15678.624432590863,48846.24140011656,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-01,15268.537435031265,47568.62877765928,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-04,15388.384180229632,47942.007390824416,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-05,15446.568843572053,48123.27980560977,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-06,15811.82198101081,49261.214003867455,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-07,15744.074416756188,49050.14868419741,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-08,15891.86470358112,49510.58448696064,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-11,15630.872024789025,48697.470336114486,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-12,15811.076819900769,49258.89247881149,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-13,15694.583299697588,48895.96072839813,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-14,15772.390538937769,49138.36663632347,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-15,15966.505008103626,49743.123913398194,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-18,16098.709008376853,50155.00115040781,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-19,16274.504933587516,50702.68760319045,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-20,16290.029123380049,50751.05270852272,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-21,15877.892932767838,49467.05589216159,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-22,16055.303373716926,50019.77231589879,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-25,15732.462322791373,49013.97158540887,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-26,15833.6800402387,49329.312072175286,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-27,15931.10985537665,49632.85147324061,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-28,15751.774414893285,49074.13777644222,35463.759491324025,28479.94385526112,24238.580235093665
2012-06-29,16242.773489651572,50603.82932789129,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-02,16300.585572438975,50783.94098014867,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-03,16429.808928272032,51186.53211693449,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-05,16439.930700016765,51218.066165611126,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-06,16221.474301256216,50537.47240337541,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-09,16209.17914294053,50499.16723995225,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-10,16055.241276957755,50019.578855477455,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-11,15965.01468588354,49738.480863286284,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-12,15805.488111575456,49241.48104089188,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-13,16051.825955203394,50008.938532304346,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-16,16002.645321940647,49855.71787861173,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-17,16093.30659032905,50138.17009375219,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-18,16305.801700209266,50800.19165554031,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-19,16491.71939716466,51379.41215699959,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-20,16257.179937779047,50648.71214563964,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-23,16082.625947751785,50104.89490128358,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-24,15943.094529896483,49670.18933455714,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-25,15829.70584765181,49316.93060521022,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-26,16051.080794093356,50006.61700724841,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-27,16437.19844261328,51209.55390707265,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-30,16406.70893386074,51114.56484020007,35463.759491324025,28479.94385526112,24238.580235093665
2012-07-31,16409.254900986718,51122.49671747456,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-01,16363.303299200814,50979.336005691046,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-02,16303.62831363831,50793.42054079379,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-03,16617.09275392917,51770.00874766301,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-06,16729.425791267953,52119.978649847326,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-07,16872.683014673465,52566.29184185351,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-08,16853.18463229404,52505.54526955619,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-09,16887.896720670145,52613.68964507915,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-10,16908.699134992145,52678.498886224384,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-13,16944.21848123746,52789.15824722463,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-14,16938.691869671322,52771.940269726336,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-15,16986.382180713987,52920.51787330707,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-16,17188.94180912698,53551.585767682554,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-17,17264.76195207372,53787.80094212537,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-20,17289.786946019285,53865.76549192099,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-21,17214.463577145907,53631.098000848804,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-22,17284.136140934803,53848.16059358004,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-23,17151.249076310705,53434.15529193579,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-24,17250.79018126044,53744.27234732632,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-27,17278.733722887002,53831.32953692441,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-28,17279.603077515385,53834.03798282301,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-29,17287.73775296667,53859.38129801713,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-30,17099.832959717827,53273.97006307531,35463.759491324025,28479.94385526112,24238.580235093665
2012-08-31,17214.711964182585,53631.87184253412,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-04,17213.407932240018,53627.80917368621,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-05,17181.862778581584,53529.53127965103,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-06,17571.582039133376,54743.688883912364,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-07,17543.017529915112,54654.69709010099,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-10,17314.749843205682,53943.53658129528,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-11,17293.264364532813,53876.59927551541,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-12,17335.42806400934,54007.95890159786,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-13,17581.76590763728,54775.41639301034,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-14,17730.052968535572,55237.399879144185,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-17,17737.56667639516,55260.808590125016,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-18,17743.403771757152,55278.993869729944,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-19,17784.698116605294,55407.64504991379,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-20,17770.22957171865,55362.56877174411,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-21,17769.85699116363,55361.40800921613,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-24,17660.194114469166,55019.75690514897,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-25,17415.22239954297,54256.55554300574,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-26,17273.02082104335,53813.531178162135,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-27,17521.221567446395,54586.792482214485,35463.759491324025,28479.94385526112,24238.580235093665
2012-09-28,17382.062730146114,54153.247678016,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-01,17351.573221393577,54058.25861114342,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-02,17382.683697737815,54155.18228222929,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-03,17504.082861915434,54533.39740592766,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-04,17564.68929886549,54722.214777144836,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-05,17461.23609808804,54399.90971521059,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-08,17305.870006644353,53915.87174104522,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-09,17026.434590378725,53045.299845064335,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-10,16943.349126609082,52786.44980132601,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-11,16885.412850303343,52605.951228226,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-12,16891.187848906164,52623.94304740959,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-15,17013.76685150802,53005.8339191132,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-16,17252.839374313055,53750.65654123018,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-17,17235.700668782094,53697.261464943345,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-18,17040.40636119201,53088.82843986338,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-19,16631.499202056642,51814.89156541136,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-22,16732.344338948948,52129.071289649786,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-23,16555.12018827737,51576.93524717659,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-24,16490.104881426236,51374.38218604504,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-25,16503.207297611138,51415.20233494546,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-26,16553.94034985314,51573.25949917133,35463.759491324025,28479.94385526112,24238.580235093665
2012-10-31,16442.72505417942,51226.771884570946,35463.759491324025,28479.94385526112,24238.580235093665
2012-11-01,16688.62822049317,51992.87515303412,35463.759491324025,28479.94385526112,24238.580235093665
2012-11-02,16494.63794484566,51388.50479680206,34829.01608077397,27970.00593653789,23804.438342528116
2012-11-05,16597.904855345598,51710.22947747233,35047.067843925164,28145.11593952125,23953.469246512726
2012-11-06,16648.451617310093,51867.70626043419,35153.799133886125,28230.828232021817,24026.41642380886
2012-11-07,16223.958171623022,50545.21082022858,34257.46608944739,27511.01345126763,23413.8035196364
2012-11-08,15974.825973832425,49769.047609856294,34355.59244719984,27589.6184796834,23054.26534357732
2012-11-09,16046.423537155595,49992.10747564872,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-12,16038.164668185966,49966.37723961196,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-13,15908.320344761207,49561.85149861284,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-14,15722.092164009959,48981.66369504691,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-15,15675.457497873185,48836.374918628775,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-16,15736.312321859921,49025.96613153127,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-19,16119.263035662168,50219.03654986775,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-20,16111.99771483926,50196.401680572235,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-21,16148.138028676283,50308.99564578576,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-23,16390.998453790697,51065.61935360382,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-26,16466.011338868222,51299.319542569356,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-27,16402.362160718832,51101.022610707034,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-28,16550.46293133961,51562.42571557691,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-29,16642.11774787474,51847.973297458644,34355.59244719984,27589.6184796834,23073.876953869836
2012-11-30,16628.766944653158,51806.379306872885,34286.069844709156,27533.591078608686,23026.85651051117
2012-12-03,16591.260502114394,51689.529212390116,34208.7370807832,27471.488635588536,22974.919077421007
2012-12-04,16566.73228224219,51613.11234596512,34158.163501725656,27430.875282951187,22940.953372006083
2012-12-05,16380.442004731773,51032.73108197787,34064.85071564848,27122.419440135873,22682.985989107914
2012-12-06,16494.762138363996,51388.891717644714,34064.85071564848,27311.70850901021,22841.29197307976
2012-12-07,16396.89764591186,51083.99809363008,34064.85071564848,27149.666372917894,22705.77310793059
2012-12-10,16440.551667608466,51220.00076982442,34064.85071564848,27221.947858750947,22766.223464656392
2012-12-11,16654.785486745444,51887.43922340977,34064.85071564848,27576.672077988555,23062.88595498928
2012-12-12,16608.21291736784,51742.34390741296,34064.85071564848,27499.558117284727,22998.394109264736
2012-12-13,16480.541980514037,51344.58928116036,34064.85071564848,27288.163046341975,22821.600462851868
2012-12-14,16319.587180745037,50843.13986907536,34064.85071564848,27021.657198149544,22598.71664402785
2012-12-17,16544.19115866343,51542.88621302267,34064.85071564848,27393.55212597054,22909.739318675405
2012-12-18,16799.595129130208,52338.58892594918,34064.85071564848,27816.44508647032,23263.412600628784
2012-12-19,16710.175795925206,52060.0059192353,34064.85071564848,27668.38628191897,23139.588256837662
2012-12-20,16726.072566272764,52109.531787095555,34064.85071564848,27694.707847172547,23161.601473511644
2012-12-21,16546.737125789405,51550.81809029715,34064.85071564848,27397.767689155677,22913.264872908345
2012-12-24,16505.629071218773,51422.74729137731,34064.85071564848,27329.701766507766,22856.34007041548
2012-12-26,16376.033134830692,51018.9953920635,34064.85071564848,27115.11931852258,22676.88076104599
2012-12-27,16349.704108942553,50936.96817341997,34064.85071564848,27071.524226071353,22640.421370929722
2012-12-28,16184.650923068324,50422.75037352727,34064.85071564848,26798.232349336988,22411.862269681948
2012-12-31,16523.51293785977,51478.46389272007,34064.85071564848,27359.31352741803,22881.104939173703
2013-01-02,17054.688615801137,53133.32433676906,34064.85071564848,28238.82395389875,23616.655936944
2013-01-03,16966.449121020374,52858.41707806044,33907.317294210545,28092.71870301857,23494.46538657791
2013-01-04,16918.19993914517,52708.09833068774,33810.89167755034,28012.828639729403,23427.651834407283
2013-01-07,16916.52332664758,52702.87489931184,33807.54098044631,28010.052537144064,23425.3301279612
2013-01-08,16882.370109104002,52596.47166758085,33739.28603943845,27953.50229929459,23378.0361077632
2013-01-09,16937.82251504294,52769.23182382773,33850.107243656676,28045.319321839284,23454.824398739223
2013-01-10,17040.468457951178,53089.0219002847,34055.24436635851,28215.278491230518,23596.964426716113
2013-01-11,17065.8039356926,53167.953752186986,34105.87712259707,28257.228485853404,23632.047990790266
2013-01-14,16987.8104061749,52924.96746299764,33950.00765731365,28128.088306328056,23524.045646483562
2013-01-15,16908.823328510483,52678.885807067054,33792.15259374636,27997.303028974366,23414.667476134742
2013-01-16,16981.787020535397,52906.201802128715,33937.96996771771,28118.114900743694,23515.70470110319
2013-01-17,17058.91119542471,53146.479645419444,34092.10203450276,28245.81561966923,23622.503197623028
2013-01-18,17034.63136258918,53070.83662067977,34043.5789764408,28205.613541488965,23588.881448718632
2013-01-22,17052.949906544378,53127.907444971854,34080.18844479956,28235.945032699143,23614.24824137029
2013-01-23,17152.18052769826,53437.05719825573,34278.50007340061,28400.249178305432,23751.658867327376
2013-01-24,16912.238650264844,52689.52613024016,33798.97808784715,28002.95805275932,23419.396878154548
2013-01-25,16994.206372369426,52944.89388639454,33962.78994626603,28138.67862359805,23532.902526629736
2013-01-28,17029.601525096405,53055.16632655212,34033.52688512873,28197.28523373296,23581.916329380387
2013-01-29,17036.74265240097,53077.414275004965,34047.798372794015,28209.109374374213,23591.805079058147
2013-01-30,17006.501530685113,52983.199049817704,33987.361725028866,28159.036709223863,23549.928373901017
2013-01-31,16961.916057600956,52844.294467303414,33898.258002040406,28085.212944176725,23488.188180260717
2013-02-01,17163.295847589714,53471.686613673635,34300.713954201354,28418.65371026008,23767.050921173635
2013-02-04,16863.492694316283,52537.65969949682,33701.55967204501,27922.245440555973,23351.895412962855
2013-02-05,17107.595054614096,53298.15261574144,34189.39635041215,28326.4254132583,23689.918673687083
2013-02-06,17053.9434546911,53131.00281171312,34082.17404308343,28237.590130527493,23615.624067412413
2013-02-07,17054.87490607865,53133.90471803306,34084.03554147456,28239.13240974157,23616.913904326902
2013-02-08,17235.328088227074,53696.10070241537,34444.669829781575,28537.923302815325,23866.798309227586
2013-02-11,17229.61518638342,53678.3023436531,34433.252639649356,28528.463990302324,23858.887309485377
2013-02-12,17154.974881860915,53445.76291721554,34284.08456857398,28404.87601594766,23755.52837807085
2013-02-13,17224.21276833562,53661.47128699747,34422.45594898084,28519.518770860683,23851.406255381335
2013-02-14,17209.682126689808,53616.20154840646,34393.41657407931,28495.459215121085,23831.284799515273
2013-02-15,17167.704717490793,53485.422303588006,34309.525046586,28425.953831873376,23773.156149235558
2013-02-19,17280.658722421274,53837.326809985614,34535.26275148294,28612.98089123373,23929.57037239948
2013-02-20,17014.449915858888,53007.96198374782,34003.24651129978,28172.197491850642,23560.934982238
2013-02-21,16837.598345742335,52456.98670380259,33649.81001677177,27879.37007840465,23316.037946740013
2013-02-22,16997.621694123784,52955.534209567646,33969.615440366826,28144.333647383,23537.631928649535
2013-02-25,16772.148361577005,52253.079419721726,33519.00872982214,27770.999258962194,23225.40540621512
2013-02-26,16846.974956377027,52486.199227423276,33668.54910057574,27894.89568915968,23329.02230501255
2013-02-27,17022.3362042735,53032.53145725662,34019.007197677965,28185.25545586316,23571.855601447358
2013-02-28,17005.6942728159,52980.68406434043,33985.748426423226,28157.70006723833,23548.810515241792
2013-03-01,17062.63700097492,53158.087270699194,34099.54802806725,28251.98473652554,23627.662545280997
2013-03-04,17135.786983277343,53385.983647024856,34245.73770171684,28373.105064137686,23728.95773763234
2013-03-05,17382.435310701134,54154.40844054397,34738.662475686375,28781.500600025152,24070.506552589508
2013-03-06,17340.89257881631,54024.98341867482,34655.639647442265,28712.71494707734,24012.979826203216
2013-03-07,17383.925632921215,54159.05149065587,34741.64087311217,28783.968246767676,24072.57029165269
2013-03-08,17412.61433565782,54248.430205309916,34798.975023558785,28831.470446561234,24112.297268619008
2013-03-11,17460.739324014678,54398.362031839955,34895.152440433514,28911.154872621853,24178.938842534368
2013-03-12,17392.122405131675,54184.58826627131,34758.02205895406,28797.54030385155,24083.92085650021
2013-03-13,17378.895795428434,54143.38119652822,34731.58878180011,28775.63993901166,24065.60517231444
2013-03-14,17432.423201833095,54310.14407971389,34838.56288934335,28864.26958451393,24139.72780033385
2013-03-15,17383.428858847856,54157.50380728524,34740.648073970246,28783.1456978535,24071.88237863163
2013-03-18,17339.278063077887,54019.95344772027,34652.413050230985,28710.041663106273,24010.744108884766
2013-03-19,17308.043393215306,53922.64285579173,34589.99080418197,28658.323900127572,23967.491577685505
2013-03-20,17423.791752308447,54283.25308114914,34821.31300425227,28849.977797130152,24127.7753115929
2013-03-21,17230.919218325995,53682.36501250101,34435.85873739693,28530.62318120203,23860.693081165664
2013-03-22,17392.122405131675,54184.58826627131,34758.02205895406,28797.54030385155,24083.92085650021
2013-03-25,17321.580486714396,53964.81722764147,34617.04458079963,28680.73835803882,23986.237207509443
2013-03-26,17427.455461099486,54294.66724600756,34828.63489792403,28856.044095372188,24132.848670123232
2013-03-27,17449.065133290693,54361.991472630085,34871.82166059809,28891.824973138762,24162.772886539417
2013-03-28,17503.151410527884,54530.495499607714,34979.91266717601,28981.37998616947,24237.669416707515
2013-04-01,17368.898217202044,54112.23406869424,34711.60869906871,28759.08614211391,24051.760922765578
