Date,breadth_60_sessions_ago,breadth,breadth_fall_60_points,breadth_below_60,ndx_return_60_pct,original_price_rise_met,canonical_divergence,fall_15,fall_20,fall_25,price,next_session_open,episode_onset,new_without_price_rise
2011-07-27,92.38,56.42,35.959999999999994,True,-1.5422753136126177,False,False,True,True,True,2367.16,2367.44,True,True
2012-05-16,80.8,59.4,21.4,True,-1.10723330656618,False,False,True,True,False,2561.56,2562.13,True,True
2012-05-30,79.8,53.21,26.589999999999996,True,-2.964526639438303,False,False,True,True,True,2537.4,2535.87,True,True
2012-06-21,85.57,52.5,33.06999999999999,True,-8.093108852242171,False,False,True,True,True,2556.96,2562.28,True,True
2012-07-09,80.76,56.94,23.820000000000007,True,-4.742250735331699,False,False,True,True,False,2610.31,2620.33,True,True
2012-07-20,79.15,56.53,22.620000000000005,True,-3.3798097150153916,False,False,True,True,False,2618.04,2575.29,True,True
2012-11-13,71.0,50.2,20.799999999999997,True,-7.450263539119028,False,False,True,True,False,2561.86,2574.62,True,True
2014-02-03,82.16,59.03,23.129999999999995,True,1.5250146068543025,False,False,True,True,False,3440.5,3460.13,True,True
2014-08-07,80.32,58.79,21.529999999999994,True,6.834702710785812,True,True,True,True,False,3857.94,3864.09,True,False
2014-10-01,85.19,56.4,28.79,True,3.1228730328384247,True,True,True,True,True,3984.74,3984.8,True,False
2014-10-06,84.4,58.2,26.200000000000003,True,2.8604869153660673,False,False,True,True,True,4016.27,3999.25,True,True
2015-07-08,65.13,44.64,20.489999999999995,True,-1.3070368614785943,False,False,True,True,False,4351.58,4410.27,True,True
2015-07-24,69.13,48.39,20.739999999999995,True,1.542506377906272,False,False,True,True,False,4557.38,4530.36,True,True
2015-08-21,64.12,34.06,30.060000000000002,True,-7.460656222027207,False,False,True,True,True,4197.27,3847.12,True,True
2015-10-06,53.93,31.88,22.05,True,-4.177800719550929,False,False,True,True,False,4306.7,4331.87,True,True
2016-01-20,43.76,18.48,25.279999999999998,True,-8.148391595347338,False,False,True,True,True,4136.28,4146.44,True,True
2016-02-19,50.29,29.96,20.33,True,-11.144470335185508,False,False,True,True,False,4164.09,4203.6,True,True
2016-11-01,77.18,53.64,23.540000000000006,True,-0.37201603430907504,False,False,True,True,False,4766.94,4764.83,True,True
2018-03-22,76.43,54.67,21.760000000000005,True,3.357839005006835,True,True,True,True,False,6682.26,6683.19,True,False
2018-04-19,80.99,57.14,23.849999999999994,True,-2.7079928656156493,False,False,True,True,False,6774.89,6754.68,True,True
2018-10-11,61.9,37.22,24.68,True,-5.765798436563363,False,False,True,True,False,6964.03,7150.21,True,True
2018-10-19,63.88,43.84,20.04,True,-3.966084518460977,False,False,True,True,False,7107.23,7146.03,True,True
2018-11-12,64.55,42.94,21.61,True,-7.433914285791731,False,False,True,True,False,6829.1,6858.59,True,True
2018-12-04,63.56,40.95,22.61,True,-8.760714746068576,False,False,True,True,False,6795.21,6652.13,True,True
2019-01-14,50.59,26.98,23.610000000000003,True,-10.10646704496574,False,False,True,True,False,6541.04,6571.15,True,True
2020-02-25,73.3,50.29,23.009999999999998,True,5.3556330680022635,True,True,True,True,False,8834.86,8883.01,True,False
2021-11-30,78.61,55.73,22.880000000000003,True,3.0860813934322495,True,True,True,True,False,16135.92,16347.96,True,False
2022-01-20,73.86,53.26,20.6,True,-4.3039952456428665,False,False,True,True,False,14846.46,14728.66,True,True
2022-01-25,72.07,46.53,25.539999999999992,True,-10.324651290137755,False,False,True,True,True,14149.12,14492.52,True,True
2022-02-03,73.51,50.49,23.020000000000003,True,-11.232349597790892,False,False,True,True,False,14501.11,14566.28,True,True
2022-02-10,74.25,50.69,23.560000000000002,True,-9.1633820512678,False,False,True,True,False,14705.64,14739.46,True,True
2022-02-17,70.55,43.73,26.82,True,-13.486616795820517,False,False,True,True,True,14171.74,14207.55,True,True
2022-03-01,59.28,37.5,21.78,True,-12.411980418691792,False,False,True,True,False,14005.99,14075.11,True,True
2022-03-04,68.51,43.65,24.860000000000007,True,-15.238771357482639,False,False,True,True,False,13837.83,13853.53,True,True
2022-03-23,70.89,45.54,25.35,True,-12.795835219556363,False,False,True,True,True,14447.55,14529.72,True,True
2022-03-31,74.65,51.28,23.370000000000005,True,-8.852972377306012,False,False,True,True,False,14838.49,14886.91,True,True
2022-04-05,69.9,48.31,21.590000000000003,True,-4.948310660657684,False,False,True,True,False,14820.64,14600.3,True,True
2022-04-29,56.63,34.25,22.380000000000003,True,-15.092333157636794,False,False,True,True,False,12854.8,12864.83,True,True
2022-05-06,58.01,34.85,23.159999999999997,True,-15.696594797356166,False,False,True,True,False,12693.53,12465.91,True,True
2022-05-12,48.11,27.92,20.189999999999998,True,-18.29801611674311,False,False,True,True,False,11945.5,12125.93,True,True
2022-06-13,45.54,16.83,28.71,True,-20.046463530378368,False,False,True,True,True,11288.32,11385.18,True,True
2022-07-26,43.96,22.26,21.7,True,-10.175043809257689,False,False,True,True,False,12086.9,12299.34,True,True
2023-03-13,61.63,38.76,22.870000000000005,True,0.7517189571589533,False,False,True,True,False,11923.17,12078.46,True,True
2023-05-01,75.94,53.67,22.269999999999996,True,3.3455074302085164,True,True,True,True,False,13231.47,13225.48,True,False
2023-05-09,68.19,47.71,20.479999999999997,True,7.283184287260713,True,True,True,True,False,13201.11,13308.42,True,False
2023-05-16,66.2,42.34,23.86,True,8.64067362669907,True,True,True,True,False,13426.01,13474.52,True,False
2023-05-31,59.64,38.17,21.47,True,15.863549463197678,True,True,True,True,False,14254.09,14269.09,True,False
2023-09-26,62.82,38.96,23.86,True,-4.172680923447258,False,False,True,True,False,14545.83,14600.14,True,True
2023-11-06,60.63,40.35,20.28,True,0.8441536404874439,False,False,True,True,False,15154.93,15201.77,True,True
2024-12-18,77.13,53.87,23.259999999999998,True,6.339835265662708,True,True,True,True,False,21209.31,21358.79,True,False
2024-12-30,74.7,54.27,20.43,True,7.092031966307855,True,True,True,True,False,21197.09,21256.02,True,False
2025-01-06,75.69,52.68,23.009999999999998,True,6.367600348514912,True,True,True,True,False,21559.5,21619.89,True,False
2025-03-03,75.94,55.06,20.879999999999995,True,-3.491773999981085,False,False,True,True,False,20425.58,20281.88,True,True
2025-03-10,70.77,44.13,26.639999999999993,True,-9.374035134850246,False,False,True,True,True,19430.95,19405.52,True,True
2025-04-04,52.08,21.47,30.61,True,-17.830883047498137,False,False,True,True,True,17397.7,16771.77,True,True
2025-05-06,57.05,36.97,20.08,True,-7.909987804373031,False,False,True,True,False,19791.35,19804.5,True,True
