variant,record_type,component,entry_date,exit_date,signal_date,component_return_pct,allocation_at_entry,portfolio_contribution_pct,sell_reason,cluster,return_pct,max_drawdown_pct,accumulated,buy_trigger,component_events
10%,21_session_cluster,,2022-03-30,2022-04-07,,,,,NDX-below-MA200/TQQQ,41.0,-2.642743457875487,,,tqqq_ma200,2.0
10%,21_session_cluster,,2022-06-14,2022-11-14,,,,,climax-top,42.0,2.5328517988351087,,,breadth,1.0
10%,21_session_cluster,,2023-01-27,2023-01-31,,,,,NDX-below-MA200/TQQQ,43.0,-0.24989479399666342,,,tqqq_ma200,1.0
10%,21_session_cluster,,2023-02-02,2023-03-13,,,,,NDX-below-MA200/TQQQ,44.0,-2.5660303519481342,,,tqqq_ma200,1.0
10%,21_session_cluster,,2023-01-27,2023-05-02,,,,,bearish-divergence,45.0,8.826158241572893,,,breadth,1.0
10%,21_session_cluster,,2023-10-30,2024-12-19,,,,,bearish-divergence,46.0,43.14322414851261,,,breadth,1.0
10%,21_session_cluster,,2023-03-15,2025-03-07,,,,,NDX-below-MA200/TQQQ,47.0,20.23785883462869,,,tqqq_ma200,1.0
10%,21_session_cluster,,2025-05-13,2026-03-23,,,,,NDX-below-MA200/TQQQ,48.0,5.114341594337912,,,tqqq_ma200,1.0
15%,component_exit,breadth,2002-07-24,2002-08-15,2002-08-14,11.266436389334928,0.85,9.576470930934688,climax-top,,,,,,
15%,component_exit,breadth,2002-10-10,2002-11-12,2002-11-11,21.249727099487348,0.8630829002676099,18.340276094920767,climax-top,,,,,,
15%,component_exit,breadth,2003-01-10,2003-03-18,2003-03-17,1.3553900874935836,0.8842824491400404,1.1985476661089598,climax-top,,,,,,
15%,component_exit,breadth,2004-03-25,2004-06-14,2004-06-10,5.375851021555637,0.8179566329541308,4.3972130008546735,bearish-divergence,,,,,,
15%,component_exit,breadth,2005-03-31,2007-07-27,2007-07-26,33.3965882431005,0.8632264970364392,28.828819882059975,bearish-divergence,,,,,,
15%,component_exit,breadth,2008-01-23,2008-09-30,2008-09-29,-10.808117263218783,0.8513860497297017,-9.201880261747235,trailing-stop,,,,,,
15%,component_exit,breadth,2008-10-17,2008-11-05,2008-11-04,5.178220440872035,0.8704015581579019,4.5071311402201175,climax-top,,,,,,
15%,component_exit,breadth,2008-11-24,2009-01-14,2009-01-13,6.924540387985798,0.8759762556304314,6.065732961029493,climax-top,,,,,,
15%,component_exit,breadth,2009-02-02,2009-02-18,2009-02-17,2.1030798495609764,0.8830559244484392,1.8571371207429523,climax-top,,,,,,
15%,component_exit,breadth,2009-03-09,2011-09-19,2011-09-16,114.8900692497403,0.8851758457029621,101.69791421101077,bearish-divergence,,,,,,
15%,component_exit,breadth,2011-10-06,2014-08-08,2014-08-07,76.9464260343174,0.902254279859513,69.42524220935633,bearish-divergence,,,,,,
15%,component_exit,breadth,2015-08-25,2018-03-23,2018-03-22,59.447425295777634,0.8719713611379565,51.83645235130621,bearish-divergence,,,,,,
15%,component_exit,breadth,2018-10-15,2020-02-26,2020-02-25,24.473917241435135,0.8148966301939176,19.94371268769031,bearish-divergence,,,,,,
15%,component_exit,breadth,2020-03-16,2021-12-01,2021-11-30,117.6893390777586,0.8585369907734172,101.0406510179312,bearish-divergence,,,,,,
15%,component_exit,breadth,2022-06-14,2022-11-14,2022-11-11,2.909112997110624,0.8061905352974423,2.345299364381361,climax-top,,,,,,
15%,component_exit,breadth,2023-01-27,2023-05-02,2023-05-01,10.100249324264201,0.8106306839391726,8.187572017684456,bearish-divergence,,,,,,
15%,component_exit,breadth,2023-10-30,2024-12-19,2024-12-18,49.38022794807871,0.8103992713240088,40.01770074693644,bearish-divergence,,,,,,
15%,component_exit,tqqq_ma200,2003-01-10,2003-01-21,2003-01-17,-11.041079010881461,0.11571755085995955,-1.2776466219905074,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2003-03-14,2004-03-24,2004-03-23,93.73960957668454,0.10709627927964693,10.039163406789674,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-03-26,2004-05-03,2004-04-30,-4.219884017644215,0.17888314592318783,-0.7548661285071783,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-05-05,2004-05-10,2004-05-07,-6.34954218025745,0.17301413908725016,-1.098560573915424,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-05-12,2004-05-18,2004-05-14,-3.8832479066065795,0.1638494811450818,-0.6362681546552131,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-05-26,2004-07-09,2004-07-08,-1.8019170317085331,0.15610885836820348,-0.281295210694241,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-10-04,2004-10-11,2004-10-08,-5.95873560289556,0.1517081803397775,-0.9039889354411325,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2004-10-19,2004-10-25,2004-10-22,-6.018603493501096,0.14396976170152898,-0.8664969107353425,NDX-below-MA200/TQQQ,,,,,,
