Date,ndx_buy_hold,baseline,ma_150,ma_200,ma_250
2022-10-27,69496.39528313016,317149.54189034586,298440.0707467209,298440.0707467209,318912.42198331613
2022-10-28,71698.22216978495,327197.6657617996,307895.42982179497,307895.42982179497,329016.39848958404
2022-10-31,70824.89334881613,323212.1952296736,304145.0724967388,304145.0724967388,325008.77466466016
2022-11-01,70100.72094337396,319907.40588484606,301035.2412165337,301035.2412165337,321685.6156027814
2022-11-02,67724.83684076527,309064.96504087024,290832.4239800451,290832.4239800451,310782.9069021689
2022-11-03,66385.1613584287,302951.3031196467,285079.42277620814,285079.42277620814,304635.2621070246
2022-11-04,67418.63772129732,307667.61327793554,289517.5056090374,289517.5056090374,309377.7879402306
2022-11-07,68163.61254106148,311067.33526129136,292716.6692060723,292716.6692060723,312796.4073250153
2022-11-08,68675.91080421512,313405.22859818273,294916.6441727755,294916.6441727755,315147.29587419215
2022-11-09,67049.28619775333,305982.06302728946,287931.3903239524,287931.3903239524,307682.86853532103
2022-11-10,72069.25030582653,328890.86729973013,309488.7450249528,309488.7450249528,330719.01171156374
2022-11-11,73379.80240811231,334871.62352701405,315116.6809852281,315116.6809852281,336733.01205463964
2022-11-14,72659.04532442451,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-15,73715.99426225945,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-16,72647.55742397804,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-17,72509.51632834283,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-18,72510.50987648954,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-21,71743.18022342413,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-22,72807.45657884114,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-23,73514.61447227068,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-25,73001.13637069281,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-28,71956.17210737772,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-29,71432.69642757344,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-11-30,74702.77386223212,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-01,74776.29642508957,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-02,74480.46746440303,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-05,73192.20809865932,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-06,71719.769745217,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-07,71395.06579151633,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-08,72265.10348424915,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-09,71804.53182148423,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-12,72693.19854196809,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-13,73486.60883388495,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-14,72907.30816758673,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-15,70450.13940722433,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-16,69819.85730164743,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-19,68831.711572973,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-20,68756.13981706294,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-21,69771.17344245802,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-22,68034.07870143256,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-23,68216.08430256025,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-27,67204.279708642,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-28,66315.24040760312,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-29,68002.47145101496,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2022-12-30,67932.36420991187,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-03,67453.47400319178,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-04,67777.37069902322,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-05,66699.49515334795,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-06,68556.9955104043,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-09,68979.87444035296,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-10,69584.26219735591,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-11,70806.0159340284,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-12,71160.46423537155,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-13,71668.85040269748,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-17,71766.40441135377,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
