Date,frozen_baseline,fixed_60,fixed_80,10_sessions,20_sessions,40_sessions,primary_3x_drag
2011-10-20,44617.58351070543,44346.0238286243,45331.067101098604,44422.31525303432,44422.31525303432,44422.31525303432,44005.9828967186
2011-10-21,45191.000199524824,45055.3073646384,46056.50819176799,45132.85018875245,45132.85018875245,45132.85018875245,44709.68877934849
2011-10-24,46129.08978254957,46255.64117267505,47284.27849120649,46335.308948116995,46335.308948116995,46335.308948116995,45900.55139930114
2011-10-25,45189.83943699686,45068.57318905648,46070.11033070468,45146.142060669554,45146.142060669554,45146.142060669554,44722.83850663104
2011-10-26,45168.945711493325,45025.51228056065,46026.02853612828,45103.00208473027,45103.00208473027,45103.00208473027,44680.1300121498
2011-10-27,46427.21229181768,46614.19302013077,47650.97449724645,46694.491559191294,46694.491559191294,46694.491559191294,46256.29185018986
2011-10-28,46455.457513331734,46661.03720391513,47698.913427524494,46741.42053089483,46741.42053089483,46741.42053089483,46302.758123045525
2011-10-31,45658.20711703457,45637.53757494872,46652.01169850564,45716.10841348546,45716.10841348546,45716.10841348546,45287.336993910285
2011-11-01,44464.36285701279,44109.07167869685,45088.607093464314,44184.93652051742,44184.93652051742,44184.93652051742,43770.93208160535
2011-11-02,44850.316397564326,44588.137028510304,45578.58946228467,44664.847391490825,44664.847391490825,44664.847391490825,44246.22883219025
2011-11-03,45805.81741850867,45782.419365769456,46800.106414154616,45861.23904475667,45861.23904475667,45861.23904475667,45431.10967005225
2011-11-04,45585.46599861484,45492.16477238714,46503.19873161094,45570.46917081457,45570.46917081457,45570.46917081457,45143.151750026
2011-11-07,45870.239738811244,45879.549478823246,46899.48964193961,45958.543661141426,45958.543661141426,45958.543661141426,45527.46199876466
2011-11-08,46430.694579401614,46579.407334643154,47615.30566797275,46659.63747437618,46659.63747437618,46659.63747437618,46221.811029518256
2011-11-09,44768.67609976345,44451.094001441525,45438.340900144096,44527.55609630687,44527.55609630687,44527.55609630687,44110.292368826355
2011-11-10,44729.40363423364,44392.27543960494,45378.158679721724,44468.631919357904,44468.631919357904,44468.631919357904,44051.944547463085
2011-11-11,45575.01913586307,45458.03463014595,46468.24188436435,45536.2750004193,45536.2750004193,45536.2750004193,45109.30698970487
2011-11-14,45295.27536662121,45109.3582410149,46111.61646148588,45186.9829600532,45186.9829600532,45186.9829600532,44763.37463925595
2011-11-15,45777.37873657329,45725.339952096685,46741.675897095105,45804.054988369426,45804.054988369426,45804.054988369426,45374.49666274714
2011-11-16,44967.35995246841,44710.20923096781,45703.3897941317,44787.13088707921,44787.13088707921,44787.13088707921,44367.35927332021
2011-11-17,43955.948869759966,43417.69246961721,44381.33314962393,43492.32626708733,43492.32626708733,43492.32626708733,43085.03979941659
2011-11-18,43605.011665469,43021.2475464922,43974.876174504876,43095.10591233487,43095.10591233487,43095.10591233487,42692.05107723777
2011-11-21,42776.80760175919,42079.37616397615,43009.36308796651,42151.40348409144,42151.40348409144,42151.40348409144,41758.340906814854
2011-11-22,42877.21356042898,42200.04503563472,43133.06084212584,42272.306942155315,42272.306942155315,42272.306942155315,41877.96419595237
2011-11-23,41913.974122631465,41129.43296372947,42035.575574796494,41199.61354609442,41199.61354609442,41199.61354609442,40816.62886007551
2011-11-25,41611.015102830126,40791.331161624636,41688.98715457888,40860.85445694206,40860.85445694206,40860.85445694206,40481.45667295556
2011-11-28,43029.853832857625,42348.55325820874,43285.29673655414,42421.103872244465,42421.103872244465,42421.103872244465,42025.18561108696
2011-11-29,42781.644112292415,42067.01291023199,42996.68950694073,42139.0161955551,42139.0161955551,42139.0161955551,41746.084779306664
2011-11-30,44403.03590345148,43850.91355158599,44825.36744140607,43926.38483021269,43926.38483021269,43926.38483021269,43514.52811751137
2011-12-01,44673.88049331219,44204.44787866337,45187.10649322161,44280.55461174638,44280.55461174638,44280.55461174638,43865.23014033983
2011-12-02,44535.36283164057,44028.91304245294,45007.5590904082,44104.70900297375,44104.70900297375,44104.70900297375,43691.0804583913
2011-12-05,45017.27274117131,44635.74918440818,45628.258305011695,44712.618837413975,44712.618837413975,44712.618837413975,44293.13101145506
2011-12-06,44911.64335112563,44498.42527956686,45487.787530244575,44575.051208062476,44575.051208062476,44575.051208062476,44156.893418872336
2011-12-07,44893.264611099374,44491.93808007815,45481.18970643968,44568.55544074036,44568.55544074036,44568.55544074036,44150.44440734615
2011-12-08,44159.0823121555,43553.53528092029,44521.31789692963,43628.48987058939,43628.48987058939,43628.48987058939,43219.45279761647
2011-12-09,44857.280972732166,44355.301608553804,45342.97708338784,44431.7968965635,44431.7968965635,44431.7968965635,44014.35202972023
2011-12-12,44345.77161873806,43776.83641049872,44749.99195909496,43852.20713283098,43852.20713283098,43852.20713283098,43440.89916907921
2011-12-13,43883.981593025535,43143.63045487259,44103.213608584854,43217.94999766048,43217.94999766048,43217.94999766048,42812.378459201675
2011-12-14,43200.29246404856,42296.20637253568,43236.44033632088,42369.027324041366,42369.027324041366,42369.027324041366,41971.633795686525
2011-12-15,43078.02547776857,42206.08797755422,43142.991404748456,42278.650979599544,42278.650979599544,42278.650979599544,41882.66511544125
