horizon_years,n_windows,qqq_pct,stock_pct,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75
1,3774,36,64,0.269323,0.295036,0.246769,0.088611,0.428694,12693.233497,12950.358135,2467.692365,10886.111548,14286.94436,0.26958,0.295261,0.24701,0.088674,0.429092,-0.187528,-0.155419,0.085385,-0.290438,-0.113188,1.124871,1.234393,0.90333,0.481354,1.781114
1,3774,37,63,0.268074,0.293794,0.245149,0.089908,0.426229,12680.735949,12937.939924,2451.493936,10899.082257,14262.287745,0.268329,0.294022,0.245388,0.090164,0.426873,-0.186745,-0.154228,0.084993,-0.28921,-0.112788,1.12571,1.234724,0.902081,0.482541,1.780753
1,3774,38,62,0.266824,0.293008,0.243537,0.08952,0.423808,12668.2384,12930.08187,2435.372254,10895.201552,14238.083769,0.267077,0.293283,0.243775,0.089584,0.42495,-0.185966,-0.153311,0.084609,-0.28581,-0.112495,1.126535,1.237793,0.900813,0.486535,1.782472
1,3774,39,61,0.265574,0.291984,0.241933,0.088822,0.422403,12655.740852,12919.836537,2419.328855,10888.215182,14224.033559,0.265826,0.292042,0.242168,0.088885,0.42279,-0.185188,-0.15209,0.084231,-0.28221,-0.112182,1.127343,1.239384,0.899527,0.491327,1.784566
1,3774,40,60,0.264324,0.291113,0.240337,0.088728,0.420126,12643.243304,12911.128027,2403.365306,10887.282591,14201.257187,0.264575,0.291355,0.24057,0.089046,0.420405,-0.18441,-0.151254,0.08386,-0.278607,-0.111869,1.128134,1.241329,0.898222,0.493858,1.782863
1,3774,41,59,0.263075,0.289823,0.238748,0.088818,0.41822,12630.745755,12898.225525,2387.483208,10888.184551,14182.199768,0.263324,0.290254,0.23898,0.088882,0.418126,-0.183633,-0.15011,0.083498,-0.276048,-0.111568,1.128906,1.240741,0.8969,0.494021,1.783393
1,3774,42,58,0.261825,0.289357,0.237168,0.089938,0.415399,12618.248207,12893.568329,2371.684199,10899.381235,14153.988277,0.262072,0.289729,0.237399,0.089928,0.415814,-0.182856,-0.14893,0.083143,-0.273965,-0.111265,1.129658,1.243817,0.895558,0.49337,1.785538
1,3774,43,57,0.260575,0.288472,0.235597,0.090336,0.413668,12605.750658,12884.723512,2355.969949,10903.361831,14136.683911,0.260821,0.288696,0.235825,0.09066,0.413897,-0.182081,-0.147748,0.082795,-0.272339,-0.110948,1.130389,1.244005,0.894199,0.496014,1.785065
1,3774,44,56,0.259325,0.287372,0.234034,0.092095,0.411104,12593.25311,12873.718614,2340.342165,10920.949697,14111.035464,0.25957,0.287595,0.234261,0.092227,0.410909,-0.181307,-0.147559,0.082454,-0.271033,-0.110624,1.131097,1.242273,0.892821,0.497971,1.785494
1,3774,45,55,0.258076,0.286911,0.23248,0.092525,0.408363,12580.755562,12869.109861,2324.802593,10925.247872,14083.625859,0.258319,0.287133,0.232705,0.092591,0.408758,-0.180534,-0.147682,0.082121,-0.269096,-0.110328,1.131781,1.241271,0.891424,0.499852,1.783613
1,3774,46,54,0.256826,0.285568,0.230935,0.091429,0.40638,12568.258013,12855.683597,2309.353011,10914.28844,14063.800215,0.257068,0.285965,0.231159,0.091462,0.406649,-0.179762,-0.147804,0.081794,-0.266779,-0.110027,1.132438,1.238681,0.890009,0.500879,1.786069
1,3774,47,53,0.255576,0.284132,0.2294,0.09055,0.403974,12555.760465,12841.322751,2293.99524,10905.496289,14039.738275,0.255816,0.284477,0.229621,0.091001,0.404253,-0.178994,-0.147609,0.081475,-0.263494,-0.10971,1.133068,1.236475,0.888575,0.501165,1.78744
1,3774,48,52,0.254326,0.283315,0.227873,0.090888,0.401178,12543.262917,12833.150864,2278.731134,10908.87685,14011.781356,0.254565,0.283596,0.228093,0.091107,0.401064,-0.17823,-0.145523,0.081162,-0.259474,-0.109349,1.133669,1.234209,0.887122,0.50194,1.786377
1,3774,49,51,0.253077,0.282854,0.226356,0.090702,0.397949,12530.765368,12828.541856,2263.562589,10907.015464,13979.486582,0.253314,0.28287,0.226574,0.091027,0.398702,-0.177467,-0.143986,0.080857,-0.25666,-0.108979,1.134239,1.233138,0.885651,0.502578,1.783409
1,3774,50,50,0.251827,0.281429,0.224849,0.090893,0.395854,12518.26782,12814.289034,2248.491538,10908.928639,13958.542106,0.252063,0.281883,0.225066,0.091153,0.396196,-0.176711,-0.144006,0.08056,-0.253133,-0.108677,1.134775,1.23395,0.88416,0.503211,1.784038
