"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/1993","357.87","360.80","360.80","355.78","","-0.81%"
"07/06/1993","360.80","364.21","365.23","359.69","","-0.94%"
"07/02/1993","364.21","363.73","364.80","361.37","","0.13%"
"07/01/1993","363.73","366.12","366.51","361.70","","-0.65%"
"06/30/1993","366.12","365.96","369.78","365.38","","0.04%"
"06/29/1993","365.96","368.45","369.82","364.79","","-0.68%"
"06/28/1993","368.45","362.23","368.45","362.23","","1.72%"
"06/25/1993","362.23","357.82","363.63","357.82","","1.23%"
"06/24/1993","357.82","354.94","358.60","352.75","","0.81%"
"06/23/1993","354.94","356.20","357.54","353.70","","-0.35%"
"06/22/1993","356.20","357.87","359.14","355.38","","-0.47%"
"06/21/1993","357.87","357.96","358.68","355.00","","-0.03%"
"06/18/1993","357.96","364.01","365.77","357.96","","-1.66%"
"06/17/1993","364.01","365.01","365.86","362.25","","-0.27%"
"06/16/1993","365.01","366.98","368.38","362.15","","-0.54%"
"06/15/1993","366.98","367.14","369.56","366.51","","-0.04%"
"06/14/1993","367.14","363.07","367.93","363.07","","1.12%"
"06/11/1993","363.07","359.55","364.11","359.55","","0.98%"
"06/10/1993","359.55","360.25","360.56","356.44","","-0.19%"
"06/09/1993","360.25","360.74","363.23","358.13","","-0.14%"
"06/08/1993","360.74","364.36","364.36","359.00","","-0.99%"
"06/07/1993","364.36","368.62","371.77","364.32","","-1.16%"
"06/04/1993","368.62","372.06","372.06","367.99","","-0.92%"
"06/03/1993","372.06","372.69","373.44","369.38","","-0.17%"
"06/02/1993","372.69","372.53","374.92","370.38","","0.04%"
"06/01/1993","372.53","368.11","374.69","368.11","","1.20%"
"05/28/1993","368.11","372.73","372.73","364.26","","-1.24%"
"05/27/1993","372.73","374.35","376.53","371.85","","-0.43%"
"05/26/1993","374.35","366.22","374.40","365.31","","2.22%"
"05/25/1993","366.22","367.09","367.09","363.88","","-0.24%"
"05/24/1993","367.09","366.67","369.61","363.31","","0.11%"
"05/21/1993","366.67","370.46","370.46","364.51","","-1.02%"
"05/20/1993","370.45","364.68","370.89","364.68","","1.58%"
"05/19/1993","364.68","356.00","365.21","354.84","","2.44%"
"05/18/1993","356.00","352.67","356.12","352.67","","0.94%"
"05/17/1993","352.67","349.81","353.11","349.52","","0.82%"
"05/14/1993","349.80","347.73","350.05","346.82","","0.60%"
"05/13/1993","347.71","350.96","350.96","345.69","","-0.93%"
"05/12/1993","350.96","353.00","353.11","350.34","","-0.58%"
"05/11/1993","353.00","354.85","354.85","351.52","","-0.52%"
