ticker,yfinance_ticker,first_membership_date,last_membership_date,membership_snapshots,first_report_date,last_report_date,reports_held,status,rows,first_price_date,last_price_date,output_file,error
ATGE,ATGE,2009-06-09,2012-09-25,345,2009-09-30,2012-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
ATVI,ATVI,2015-08-31,2023-10-02,489,2015-09-30,2023-09-30,17,unavailable,0,,,,No price data returned by Yahoo Finance
AVP,AVP,1996-01-02,2015-03-19,2134,1995-12-31,2014-09-30,25,unavailable,0,,,,No price data returned by Yahoo Finance
AW,AW,1999-08-02,2008-12-04,1045,1999-09-30,2008-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
AWE,AWE,2001-07-09,2004-10-26,329,2001-09-30,2004-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
AYE,AYE,2000-12-11,2011-02-23,1105,2001-09-30,2010-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
AZA.A,AZA-A,1996-01-02,2001-06-20,659,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
BBI,BBI,1996-01-02,1998-01-05,230,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
BCR,BCR,1996-01-02,2017-12-27,2473,1995-12-31,2017-09-30,31,unavailable,0,,,,No price data returned by Yahoo Finance
BDK,BDK,1996-01-02,2010-03-11,1621,1995-12-31,2009-09-30,15,unavailable,0,,,,No price data returned by Yahoo Finance
BEV,BEV,1996-01-02,1997-12-02,216,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
BFI,BFI,1996-01-02,1999-07-30,431,1995-12-31,1998-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
BFO,BFO,1996-01-02,2000-10-02,582,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
BGEN,BGEN,2000-01-31,2003-11-12,401,2000-09-30,2003-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
BGG,BGG,1996-01-02,2001-04-02,640,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
BHGE,BHGE,1996-01-02,2019-10-03,2609,1995-12-31,2019-09-30,35,unavailable,0,,,,No price data returned by Yahoo Finance
BHMSQ,BHMSQ,1996-01-02,2000-12-08,605,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
BIG,BIG,1998-01-20,2013-02-06,1685,1998-09-30,2012-09-30,18,unavailable,0,,,,No price data returned by Yahoo Finance
BJS,BJS,2002-05-15,2010-04-21,871,2002-09-30,2010-03-31,9,unavailable,0,,,,No price data returned by Yahoo Finance
BK,BK,1996-01-02,2026-05-07,2711,1995-12-31,2026-03-31,48,unavailable,0,,,,No price data returned by Yahoo Finance
BKB,BKB,1996-01-02,1999-09-30,452,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
BLL,BLL,1996-01-02,2022-04-11,2650,1995-12-31,2022-03-31,40,unavailable,0,,,,No price data returned by Yahoo Finance
BLS,BLS,1996-01-02,2006-12-29,1228,1995-12-31,2006-09-30,12,unavailable,0,,,,No price data returned by Yahoo Finance
BMET,BMET,1996-01-02,2007-07-10,1295,1995-12-31,2006-09-30,12,unavailable,0,,,,No price data returned by Yahoo Finance
BMGCA,BMGCA,1996-07-22,1999-08-06,379,1996-12-31,1998-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
BMS,BMS,1996-01-02,2014-12-04,2108,1995-12-31,2014-09-30,25,unavailable,0,,,,No price data returned by Yahoo Finance
BNI,BNI,1996-01-02,2010-02-10,1609,1995-12-31,2009-09-30,15,unavailable,0,,,,No price data returned by Yahoo Finance
BRCM,BRCM,2000-07-03,2016-01-26,1686,2000-09-30,2015-09-30,22,unavailable,0,,,,No price data returned by Yahoo Finance
BRL,BRL,2006-02-27,2008-12-22,350,2006-09-30,2008-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
BSC,BSC,1998-07-01,2008-05-29,1108,1998-09-30,2007-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
BT,BT,1996-01-02,1999-06-03,408,1995-12-31,1998-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
BTUUQ,BTUUQ,2006-11-20,2014-09-19,874,2007-09-30,2014-03-31,12,unavailable,0,,,,No price data returned by Yahoo Finance
BVSN,BVSN,2000-11-06,2001-08-31,89,,,0,unavailable,0,,,,No price data returned by Yahoo Finance
BXLT,BXLT,2015-07-01,2016-06-01,135,2015-09-30,2016-03-31,2,unavailable,0,,,,No price data returned by Yahoo Finance
CA,CA,1996-01-02,2018-10-31,2572,1995-12-31,2018-09-30,33,unavailable,0,,,,No price data returned by Yahoo Finance
CBB,CBB,1996-01-02,1998-01-26,238,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
CBH,CBH,2006-06-06,2008-03-18,217,2006-09-30,2007-09-30,2,unavailable,0,,,,No price data returned by Yahoo Finance
CBS,CBS,1996-01-02,2019-11-21,2612,1995-12-31,2019-09-30,35,unavailable,0,,,,No price data returned by Yahoo Finance
CBSS,CBSS,2004-12-20,2007-09-04,303,2005-09-30,2006-09-30,2,unavailable,0,,,,No price data returned by Yahoo Finance
CCTYQ,CCTYQ,1996-01-02,2008-03-18,1381,1995-12-31,2007-09-30,13,unavailable,0,,,,No price data returned by Yahoo Finance
CDAY,CDAY,2021-09-20,2023-12-18,37,2021-09-30,2023-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
CELG,CELG,2006-11-06,2019-11-05,1404,2007-09-30,2019-09-30,23,unavailable,0,,,,No price data returned by Yahoo Finance
CEN,CEN,1996-01-02,2001-03-30,639,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
CEPH,CEPH,2008-11-17,2011-10-11,307,2009-09-30,2011-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
CERN,CERN,2010-04-30,2022-05-10,1019,2010-09-30,2022-03-31,24,unavailable,0,,,,No price data returned by Yahoo Finance
CFL,CFL,1996-01-02,1998-04-27,267,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
CFN,CFN,2009-09-01,2015-03-13,570,2009-09-30,2014-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
CGP,CGP,1996-01-02,2001-01-29,621,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
CHK,CHK,2006-03-03,2018-03-16,1362,2006-09-30,2017-09-30,20,unavailable,0,,,,No price data returned by Yahoo Finance
CIT.A,CIT-A,2000-07-17,2001-05-31,93,2000-09-30,2000-09-30,1,unavailable,0,,,,No price data returned by Yahoo Finance
CITGQ,CITGQ,2004-10-27,2009-07-17,557,2005-09-30,2008-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
CMA,CMA,1996-01-02,2024-05-08,2683,1995-12-31,2024-03-31,44,unavailable,0,,,,No price data returned by Yahoo Finance
CMCSK,CMCSK,2015-09-21,2015-12-09,31,2015-09-30,2015-09-30,1,unavailable,0,,,,No price data returned by Yahoo Finance
CNW,CNW,1996-01-02,1996-11-27,95,1995-12-31,1995-12-31,1,unavailable,0,,,,No price data returned by Yahoo Finance
COC.B,COC-B,1999-08-09,2002-08-29,360,1999-09-30,2001-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
COG,COG,2008-06-23,2021-09-20,1234,2008-09-30,2021-09-30,26,unavailable,0,,,,No price data returned by Yahoo Finance
COV,COV,1996-01-02,2015-01-15,713,1995-12-31,2014-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
CPGX,CPGX,2015-07-02,2016-06-27,145,2015-09-30,2016-03-31,2,unavailable,0,,,,No price data returned by Yahoo Finance
CPNLQ,CPNLQ,2000-12-01,2005-11-28,503,2001-09-30,2005-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
CRR,CRR,1996-01-02,1997-05-19,146,1995-12-31,1996-12-31,2,unavailable,0,,,,No price data returned by Yahoo Finance
CTB,CTB,1996-01-02,2006-07-11,1176,1995-12-31,2005-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
CTL,CTL,1999-03-25,2020-06-22,2240,1999-09-30,2020-03-31,32,unavailable,0,,,,No price data returned by Yahoo Finance
CTLT,CTLT,2020-09-21,2024-11-26,65,2020-09-30,2024-09-30,9,unavailable,0,,,,No price data returned by Yahoo Finance
CTRA,CTRA,2021-10-04,2026-04-09,70,2022-03-31,2026-03-31,9,unavailable,0,,,,No price data returned by Yahoo Finance
CTX,CTX,1996-01-02,2009-08-18,1557,1995-12-31,2008-09-30,14,unavailable,0,,,,No price data returned by Yahoo Finance
CTXS,CTXS,1999-12-01,2022-09-19,2176,2000-09-30,2022-09-30,36,unavailable,0,,,,No price data returned by Yahoo Finance
CVC,CVC,2010-12-20,2016-06-20,611,2011-03-31,2016-03-31,11,unavailable,0,,,,No price data returned by Yahoo Finance
CVG,CVG,2000-06-13,2009-12-17,1046,2000-09-30,2009-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
CVH,CVH,2005-08-30,2013-05-02,862,2005-09-30,2013-03-31,12,unavailable,0,,,,No price data returned by Yahoo Finance
CXO,CXO,2016-02-22,2021-01-07,382,2016-03-31,2020-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
CYM,CYM,1996-01-02,1999-10-14,461,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
CYR,CYR,1996-01-02,1996-03-25,26,1995-12-31,1995-12-31,1,unavailable,0,,,,No price data returned by Yahoo Finance
DALRQ,DALRQ,1996-01-02,2005-08-18,1073,1995-12-31,2004-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
DAY,DAY,2024-02-01,2026-01-14,31,2024-03-31,2025-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
DCNAQ,DCNAQ,1996-01-02,2006-03-02,1134,1995-12-31,2005-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
DF,DF,2006-04-03,2013-05-17,803,2006-09-30,2013-03-31,11,unavailable,0,,,,No price data returned by Yahoo Finance
DFS,DFS,2007-07-02,2025-03-24,1402,2007-09-30,2025-03-31,34,unavailable,0,,,,No price data returned by Yahoo Finance
DI,DI,1996-01-02,1998-09-29,325,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
DISCA,DISCA,2010-03-01,2022-04-04,1034,2010-03-31,2022-03-31,25,unavailable,0,,,,No price data returned by Yahoo Finance
DISCK,DISCK,2014-08-07,2022-04-04,574,2014-09-30,2022-03-31,16,unavailable,0,,,,No price data returned by Yahoo Finance
DISH,DISH,2017-03-13,2023-06-07,284,2017-03-31,2023-03-31,13,unavailable,0,,,,No price data returned by Yahoo Finance
DJ,DJ,1996-01-02,2007-12-12,1353,1995-12-31,2007-09-30,13,unavailable,0,,,,No price data returned by Yahoo Finance
DNB,DNB,2008-12-02,2017-04-04,922,2009-09-30,2017-03-31,16,unavailable,0,,,,No price data returned by Yahoo Finance
DNR,DNR,2009-04-02,2015-03-19,617,2009-09-30,2014-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
DO,DO,2009-02-26,2016-09-28,835,2009-09-30,2016-09-30,15,unavailable,0,,,,No price data returned by Yahoo Finance
DPHIQ,DPHIQ,1999-05-28,2005-10-10,685,1999-09-30,2005-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
DRE,DRE,2017-07-26,2022-09-19,230,2017-09-30,2022-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
DTV,DTV,2006-12-04,2015-07-23,956,2007-09-30,2015-03-31,14,unavailable,0,,,,No price data returned by Yahoo Finance
DWDP,DWDP,2017-09-01,2019-06-01,158,2017-09-30,2019-03-31,4,unavailable,0,,,,No price data returned by Yahoo Finance
EDS,EDS,1998-08-11,2008-08-25,1126,1998-09-30,2007-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
EKDKQ,EKDKQ,1996-01-02,2010-12-17,1692,1995-12-31,2010-09-30,17,unavailable,0,,,,No price data returned by Yahoo Finance
ENDP,ENDP,2015-01-27,2017-03-01,262,2015-03-31,2016-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
ENRNQ,ENRNQ,1996-01-02,2001-11-26,707,1995-12-31,2001-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
EOP,EOP,2001-10-10,2007-02-09,548,2002-09-30,2006-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
ESRX,ESRX,2003-09-26,2018-12-19,1697,2003-09-30,2018-09-30,25,unavailable,0,,,,No price data returned by Yahoo Finance
ESV,ESV,2007-01-04,2016-03-29,766,2007-09-30,2015-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
ETFC,ETFC,2004-04-01,2020-09-21,1690,2004-09-30,2020-09-30,28,unavailable,0,,,,No price data returned by Yahoo Finance
FBF,FBF,1996-01-02,2004-03-29,935,1995-12-31,2003-09-30,9,unavailable,0,,,,No price data returned by Yahoo Finance
FBHS,FBHS,2016-06-24,2022-11-08,354,2016-09-30,2022-09-30,13,unavailable,0,,,,No price data returned by Yahoo Finance
FBO,FBO,1996-01-02,1996-03-12,22,1995-12-31,1995-12-31,1,unavailable,0,,,,No price data returned by Yahoo Finance
FDC,FDC,1996-01-02,2007-09-24,1317,1995-12-31,2006-09-30,12,unavailable,0,,,,No price data returned by Yahoo Finance
FDO,FDO,2001-08-06,2015-07-06,1493,2001-09-30,2015-03-31,20,unavailable,0,,,,No price data returned by Yahoo Finance
FI,FI,2023-06-07,2025-11-04,35,2023-09-30,2025-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
FII,FII,2003-04-16,2012-12-28,1056,2003-09-30,2012-09-30,13,unavailable,0,,,,No price data returned by Yahoo Finance
FJ,FJ,1996-01-02,2000-11-22,598,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
FL,FL,1996-01-02,2019-08-08,697,1995-12-31,2019-03-31,10,unavailable,0,,,,No price data returned by Yahoo Finance
FLIR,FLIR,2009-01-02,2021-04-20,1149,2009-09-30,2021-03-31,24,unavailable,0,,,,No price data returned by Yahoo Finance
FLMIQ,FLMIQ,1996-01-02,1997-12-19,224,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
FLT,FLT,2018-06-20,2024-03-18,150,2018-09-30,2023-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
FLTWQ,FLTWQ,1996-01-02,2000-01-28,502,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
FRC,FRC,2019-01-02,2023-03-20,76,2019-03-31,2023-03-31,9,unavailable,0,,,,No price data returned by Yahoo Finance
FRX,FRX,2000-11-22,2014-06-24,1466,2001-09-30,2014-03-31,18,unavailable,0,,,,No price data returned by Yahoo Finance
FSL,FSL,2004-12-03,2006-12-01,215,2005-09-30,2006-09-30,2,unavailable,0,,,,No price data returned by Yahoo Finance
FTL.A,FTL-A,1996-01-02,1999-09-30,452,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
FTR,FTR,2001-02-27,2017-03-17,1759,2001-09-30,2016-09-30,23,unavailable,0,,,,No price data returned by Yahoo Finance
FWLT,FWLT,1996-01-02,2000-01-28,502,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
GAPTQ,GAPTQ,1996-01-02,2000-08-25,575,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
GAS,GAS,1996-01-02,2016-06-27,2307,1995-12-31,2016-03-31,28,unavailable,0,,,,No price data returned by Yahoo Finance
GFS.A,GFS-A,1996-01-02,1998-07-13,295,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
GGP,GGP,2007-07-02,2018-08-20,718,2007-09-30,2018-03-31,11,unavailable,0,,,,No price data returned by Yahoo Finance
GIDL,GIDL,1996-01-02,1997-07-09,165,1995-12-31,1996-12-31,2,unavailable,0,,,,No price data returned by Yahoo Finance
GMCR,GMCR,2014-03-24,2016-02-26,222,2014-03-31,2015-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
GPS,GPS,1996-01-02,2022-01-10,2644,1995-12-31,2021-09-30,39,unavailable,0,,,,No price data returned by Yahoo Finance
GPU,GPU,1996-01-02,2001-11-05,701,1995-12-31,2001-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
GRA,GRA,1996-01-02,2000-12-08,605,1995-12-31,2000-09-30,6,unavailable,0,,,,No price data returned by Yahoo Finance
GTW,GTW,1998-04-27,2006-07-31,916,1998-09-30,2005-09-30,8,unavailable,0,,,,No price data returned by Yahoo Finance
GWF,GWF,1996-01-02,1997-06-26,160,1995-12-31,1996-12-31,2,unavailable,0,,,,No price data returned by Yahoo Finance
GX,GX,1999-09-29,2001-10-04,244,1999-09-30,2001-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
HBI,HBI,2015-03-23,2021-12-14,508,2015-03-31,2021-09-30,14,unavailable,0,,,,No price data returned by Yahoo Finance
HBOC,HBOC,1997-10-23,1999-01-07,160,1998-09-30,1998-09-30,1,unavailable,0,,,,No price data returned by Yahoo Finance
HCBK,HCBK,2007-02-15,2015-10-28,959,2007-09-30,2015-09-30,15,unavailable,0,,,,No price data returned by Yahoo Finance
HCP,HCP,2008-03-31,2019-10-18,1229,2008-09-30,2019-09-30,22,unavailable,0,,,,No price data returned by Yahoo Finance
HCR,HCR,1998-09-28,2007-11-05,1017,1998-09-30,2007-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
HDLM,HDLM,1996-01-02,1996-03-05,19,1995-12-31,1995-12-31,1,unavailable,0,,,,No price data returned by Yahoo Finance
HES,HES,1996-01-02,2025-07-18,2694,1995-12-31,2025-03-31,46,unavailable,0,,,,No price data returned by Yahoo Finance
HFC,HFC,2018-06-18,2021-05-14,108,2018-09-30,2021-03-31,6,unavailable,0,,,,No price data returned by Yahoo Finance
HFS,HFS,1996-08-16,1997-12-12,160,1996-12-31,1997-09-30,2,unavailable,0,,,,No price data returned by Yahoo Finance
HI,HI,1996-01-02,2003-03-28,847,1995-12-31,2002-09-30,8,unavailable,0,,,,No price data returned by Yahoo Finance
HMA,HMA,2001-11-07,2007-02-26,549,2002-09-30,2006-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
HNZ,HNZ,1996-01-02,2013-06-06,1951,1995-12-31,2013-03-31,22,unavailable,0,,,,No price data returned by Yahoo Finance
HOLX,HOLX,2016-03-30,2026-03-23,444,2016-03-31,2026-03-31,21,unavailable,0,,,,No price data returned by Yahoo Finance
HOT,HOT,2000-11-17,2016-09-16,1739,2001-09-30,2016-03-31,22,unavailable,0,,,,No price data returned by Yahoo Finance
HPH,HPH,1996-01-02,1999-06-08,411,1995-12-31,1998-09-30,4,unavailable,0,,,,No price data returned by Yahoo Finance
HRS,HRS,1996-01-02,2019-04-02,1630,1995-12-31,2019-03-31,26,unavailable,0,,,,No price data returned by Yahoo Finance
HSH,HSH,1996-01-02,2012-06-25,1854,1995-12-31,2012-03-31,20,unavailable,0,,,,No price data returned by Yahoo Finance
HSP,HSP,2004-05-03,2015-09-01,1239,2004-09-30,2015-03-31,17,unavailable,0,,,,No price data returned by Yahoo Finance
I,I,1996-01-02,1996-03-29,28,1995-12-31,1995-12-31,1,unavailable,0,,,,No price data returned by Yahoo Finance
IAC,IAC,2006-12-01,2008-08-18,209,2007-09-30,2007-09-30,1,unavailable,0,,,,No price data returned by Yahoo Finance
IGT,IGT,2001-09-04,2014-06-19,1379,2001-09-30,2014-03-31,18,unavailable,0,,,,No price data returned by Yahoo Finance
IKN,IKN,1996-01-02,2000-06-27,555,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
IMNX,IMNX,2001-09-21,2002-07-10,88,2001-09-30,2001-09-30,1,unavailable,0,,,,No price data returned by Yahoo Finance
INCLF,INCLF,1996-01-02,2002-07-18,779,1995-12-31,2001-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
IPG,IPG,1996-01-02,2025-11-11,2703,1995-12-31,2025-09-30,47,unavailable,0,,,,No price data returned by Yahoo Finance
JCP,JCP,1996-01-02,2013-11-27,2002,1995-12-31,2013-09-30,23,unavailable,0,,,,No price data returned by Yahoo Finance
JEC,JEC,2007-10-26,2019-12-09,1280,2008-09-30,2019-09-30,22,unavailable,0,,,,No price data returned by Yahoo Finance
JH,JH,1996-01-02,1998-03-30,258,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
JHF,JHF,2001-06-29,2004-04-28,286,2001-09-30,2003-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
JNPR,JNPR,2006-06-02,2025-05-19,1530,2006-09-30,2025-03-31,35,unavailable,0,,,,No price data returned by Yahoo Finance
JNS,JNS,2000-07-13,2011-11-18,1227,2000-09-30,2011-09-30,14,unavailable,0,,,,No price data returned by Yahoo Finance
JNY,JNY,2001-12-17,2009-03-02,791,2002-09-30,2008-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
JOS,JOS,1996-01-02,2000-05-09,533,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
JOY,JOY,2011-02-28,2015-10-05,489,2011-03-31,2015-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
JP,JP,1996-01-02,2006-03-30,1143,1995-12-31,2005-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
JWN,JWN,1996-01-02,2020-05-22,2622,1995-12-31,2020-03-31,36,unavailable,0,,,,No price data returned by Yahoo Finance
K,K,1996-01-02,2025-11-28,2704,1995-12-31,2025-09-30,47,unavailable,0,,,,No price data returned by Yahoo Finance
KATE,KATE,1996-01-02,2008-11-28,1473,1995-12-31,2008-09-30,14,unavailable,0,,,,No price data returned by Yahoo Finance
KMG,KMG,1996-01-02,2006-08-10,1185,1995-12-31,2005-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
KORS,KORS,2013-11-13,2018-09-18,563,2014-03-31,2018-03-31,9,unavailable,0,,,,No price data returned by Yahoo Finance
KRB,KRB,1996-01-02,2005-12-29,1114,1995-12-31,2005-09-30,11,unavailable,0,,,,No price data returned by Yahoo Finance
KRFT,KRFT,2012-10-02,2015-07-02,283,2013-03-31,2015-03-31,5,unavailable,0,,,,No price data returned by Yahoo Finance
KSE,KSE,2000-08-21,2007-08-24,735,2000-09-30,2006-09-30,7,unavailable,0,,,,No price data returned by Yahoo Finance
KSU,KSU,1999-04-05,2021-10-04,867,1999-09-30,2021-09-30,18,unavailable,0,,,,No price data returned by Yahoo Finance
KWP,KWP,1996-01-02,1999-11-15,475,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
LDW.B,LDW-B,1996-01-02,1999-12-07,485,1995-12-31,1999-09-30,5,unavailable,0,,,,No price data returned by Yahoo Finance
LEHMQ,LEHMQ,1998-01-12,2008-09-16,1207,1998-09-30,2007-09-30,10,unavailable,0,,,,No price data returned by Yahoo Finance
LLL,LLL,2004-12-01,2019-06-07,1601,2005-09-30,2019-03-31,24,unavailable,0,,,,No price data returned by Yahoo Finance
LLTC,LLTC,2000-04-03,2017-03-10,1866,2000-09-30,2016-09-30,24,unavailable,0,,,,No price data returned by Yahoo Finance
LLX,LLX,1996-01-02,1997-10-14,203,1995-12-31,1997-09-30,3,unavailable,0,,,,No price data returned by Yahoo Finance
